id_tm|jugador|club|clubtm|ano|foto_url|competencia|partidos_jugados|titularidades|ppp|goles|asistencias|tarjetas_amarillas|tarjeta_amarilla_roja|tarjetas_rojas|entrada_suplente|salida_suplente|penaltis_anotados|goles_en_contra|partidos_imbatido|min_por_gol|minutos_jugados|datos_disponibles|fuente|temporada|fecha_carga
325709|Steven Rivadeneyra|Club Alianza Lima|184|2021|https://img.a.transfermarkt.technology/portrait/header/325709-1771423872.jpg?lm=1|Liga 1 Clausura|14|1|1.0|0|0|0|0|0|0|0|0|1|0|0|90|True|Transfermarkt|2021|2026-06-30 05:23:21
325709|Steven Rivadeneyra|Club Alianza Lima|184|2021|https://img.a.transfermarkt.technology/portrait/header/325709-1771423872.jpg?lm=1|Liga 1 Apertura|9|5|1.2|0|0|0|0|0|0|0|0|6|2|0|450|True|Transfermarkt|2021|2026-06-30 05:23:21
257991|Ángelo Campos|Club Alianza Lima|184|2021|https://img.a.transfermarkt.technology/portrait/header/257991-1777823262.jpg?lm=1|Liga 1 Clausura|16|16|2.44|0|0|0|1|0|0|0|0|10|9|0|1440|True|Transfermarkt|2021|2026-06-30 05:23:21
257991|Ángelo Campos|Club Alianza Lima|184|2021|https://img.a.transfermarkt.technology/portrait/header/257991-1777823262.jpg?lm=1|Liga 1 Apertura|8|4|2.5|0|0|0|0|0|0|0|0|0|4|0|360|True|Transfermarkt|2021|2026-06-30 05:23:21
654296|Franco Saravia|Club Alianza Lima|184|2021|https://img.a.transfermarkt.technology/portrait/header/654296-1677428517.jpg?lm=1|Liga 1 Clausura|4|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|True|Transfermarkt|2021|2026-06-30 05:23:21
654296|Franco Saravia|Club Alianza Lima|184|2021|https://img.a.transfermarkt.technology/portrait/header/654296-1677428517.jpg?lm=1|Liga 1 Apertura|1|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|True|Transfermarkt|2021|2026-06-30 05:23:21
76942|Jonathan Lacerda|Club Alianza Lima|184|2021|https://img.a.transfermarkt.technology/portrait/header/76942-1617124261.jpg?lm=1|Liga 1 Clausura|14|8|1.75|0|0|0|0|0|6|0|0|0|0|0|255|True|Transfermarkt|2021|2026-06-30 05:23:21
76942|Jonathan Lacerda|Club Alianza Lima|184|2021|https://img.a.transfermarkt.technology/portrait/header/76942-1617124261.jpg?lm=1|Liga 1 Apertura|6|6|1.17|0|0|3|0|0|0|1|0|0|0|0|530|True|Transfermarkt|2021|2026-06-30 05:23:21
338977|Yordi Vílchez|Club Alianza Lima|184|2021|https://img.a.transfermarkt.technology/portrait/header/338977-1778163184.jpg?lm=1|Liga 1 Clausura|17|15|2.53|0|2|2|0|0|1|1|0|0|0|0|1249|True|Transfermarkt|2021|2026-06-30 05:23:21
338977|Yordi Vílchez|Club Alianza Lima|184|2021|https://img.a.transfermarkt.technology/portrait/header/338977-1778163184.jpg?lm=1|Liga 1 Apertura|0|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|True|Transfermarkt|2021|2026-06-30 05:23:21
582098|Jefferson Portales|Club Alianza Lima|184|2021|https://img.a.transfermarkt.technology/portrait/header/582098-1652212042.jpg?lm=1|Liga 1 Clausura|12|10|2.1|0|0|2|0|1|1|2|0|0|0|0|735|True|Transfermarkt|2021|2026-06-30 05:23:21
582098|Jefferson Portales|Club Alianza Lima|184|2021|https://img.a.transfermarkt.technology/portrait/header/582098-1652212042.jpg?lm=1|Liga 1 Apertura|9|8|1.63|0|0|3|0|0|1|1|0|0|0|0|621|True|Transfermarkt|2021|2026-06-30 05:23:21
662710|Carlos Montoya|Club Alianza Lima||2021|https://img.a.transfermarkt.technology/portrait/header/662710-1677427973.jpg?lm=1||0|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|False|Transfermarkt|2021|2026-06-30 05:23:21
653364|Ricardo Lagos|Club Alianza Lima|184|2021|https://img.a.transfermarkt.technology/portrait/header/653364-1736797159.jpg?lm=1|Liga 1 Clausura|16|16|2.44|1|0|2|0|0|0|1|0|0|0|1426|1426|True|Transfermarkt|2021|2026-06-30 05:23:21
653364|Ricardo Lagos|Club Alianza Lima|184|2021|https://img.a.transfermarkt.technology/portrait/header/653364-1736797159.jpg?lm=1|Liga 1 Apertura|9|9|1.78|3|2|2|0|0|0|0|0|0|0|270|810|True|Transfermarkt|2021|2026-06-30 05:23:21
621028|Dylan Caro|Club Alianza Lima|184|2021|https://img.a.transfermarkt.technology/portrait/header/621028-1777823736.jpg?lm=1|Liga 1 Clausura|1|1|1.0|0|0|0|0|0|0|1|0|0|0|0|77|True|Transfermarkt|2021|2026-06-30 05:23:21
621028|Dylan Caro|Club Alianza Lima|184|2021|https://img.a.transfermarkt.technology/portrait/header/621028-1777823736.jpg?lm=1|Liga 1 Apertura|1|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|True|Transfermarkt|2021|2026-06-30 05:23:21
621026|Oslimg Mora|Club Alianza Lima|184|2021|https://img.a.transfermarkt.technology/portrait/header/621026-1771423433.jpg?lm=1|Liga 1 Clausura|15|15|2.53|1|4|3|0|0|2|5|0|0|0|1170|1170|True|Transfermarkt|2021|2026-06-30 05:23:21
621026|Oslimg Mora|Club Alianza Lima|184|2021|https://img.a.transfermarkt.technology/portrait/header/621026-1771423433.jpg?lm=1|Liga 1 Apertura|7|7|2.14|0|1|0|0|0|6|1|0|0|0|0|194|True|Transfermarkt|2021|2026-06-30 05:23:21
501586|Fabio Rojas|Club Alianza Lima|184|2021|https://img.a.transfermarkt.technology/portrait/header/501586-1778162022.jpg?lm=1|Liga 1 Clausura|4|4|1.5|0|0|2|0|0|0|0|0|0|0|0|360|True|Transfermarkt|2021|2026-06-30 05:23:21
501586|Fabio Rojas|Club Alianza Lima|184|2021|https://img.a.transfermarkt.technology/portrait/header/501586-1778162022.jpg?lm=1|Liga 1 Apertura|5|4|2.0|1|0|0|0|0|2|1|0|0|0|171|171|True|Transfermarkt|2021|2026-06-30 05:23:21
686497|José Gallardo|Club Alianza Lima|184|2021|https://img.a.transfermarkt.technology/portrait/header/686497-1688043719.jpg?lm=1|Liga 1 Clausura|3|3|1.33|0|0|0|0|0|0|3|0|0|0|0|200|True|Transfermarkt|2021|2026-06-30 05:23:21
686497|José Gallardo|Club Alianza Lima|184|2021|https://img.a.transfermarkt.technology/portrait/header/686497-1688043719.jpg?lm=1|Liga 1 Apertura|0|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|True|Transfermarkt|2021|2026-06-30 05:23:21
741413|Erick Canales|Club Alianza Lima|184|2021|https://img.a.transfermarkt.technology/portrait/header/741413-1617124244.jpg?lm=1|Liga 1 Clausura|1|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|True|Transfermarkt|2021|2026-06-30 05:23:21
741413|Erick Canales|Club Alianza Lima|184|2021|https://img.a.transfermarkt.technology/portrait/header/741413-1617124244.jpg?lm=1|Liga 1 Apertura|1|1|1.0|0|0|0|0|0|0|1|0|0|0|0|59|True|Transfermarkt|2021|2026-06-30 05:23:21
662713|Kluiverth Aguilar|Club Alianza Lima|184|2021|https://img.a.transfermarkt.technology/portrait/header/662713-1713869736.png?lm=1|Liga 1 Apertura|8|8|1.38|0|0|0|0|0|1|3|0|0|0|0|583|True|Transfermarkt|2021|2026-06-30 05:23:21
