ano|club|jugadores_en_plantilla|edad_promedio|extranjeros|valor_medio|valor_total|fuente|temporada|fecha_carga
2021|Club Alianza Lima|32|24.0|5|348 mil €|11,13 mill. €|Transfermarkt|2021|2026-06-11 19:18:48
2021|Deportivo Binacional|34|26.8|6|253 mil €|8,60 mill. €|Transfermarkt|2021|2026-06-11 19:18:48
2021|FBC Melgar|31|22.7|6|262 mil €|8,13 mill. €|Transfermarkt|2021|2026-06-11 19:18:48
2021|Universitario de Deportes|33|23.9|5|239 mil €|7,88 mill. €|Transfermarkt|2021|2026-06-11 19:18:48
2021|Club Sporting Cristal|31|22.4|5|245 mil €|7,60 mill. €|Transfermarkt|2021|2026-06-11 19:18:48
2021|Sport Boys Association|36|24.6|6|196 mil €|7,05 mill. €|Transfermarkt|2021|2026-06-11 19:18:48
2021|Club Cienciano|34|24.7|7|196 mil €|6,65 mill. €|Transfermarkt|2021|2026-06-11 19:18:48
2021|Deportivo Municipal|30|23.7|7|218 mil €|6,53 mill. €|Transfermarkt|2021|2026-06-11 19:18:48
2021|Universidad César Vallejo|26|26.0|6|251 mil €|6,53 mill. €|Transfermarkt|2021|2026-06-11 19:18:48
2021|Ayacucho FC|31|24.4|6|206 mil €|6,40 mill. €|Transfermarkt|2021|2026-06-11 19:18:48
2021|Alianza Universidad|32|26.1|6|187 mil €|5,98 mill. €|Transfermarkt|2021|2026-06-11 19:18:48
2021|Cusco FC|31|26.7|7|182 mil €|5,65 mill. €|Transfermarkt|2021|2026-06-11 19:18:48
2021|Academia Deportiva Cantolao|33|23.7|6|162 mil €|5,35 mill. €|Transfermarkt|2021|2026-06-11 19:18:48
2021|Carlos A. Mannucci|29|24.2|5|184 mil €|5,35 mill. €|Transfermarkt|2021|2026-06-11 19:18:48
2021|Universidad Técnica de Cajamarca|29|24.6|6|183 mil €|5,30 mill. €|Transfermarkt|2021|2026-06-11 19:18:48
2021|Alianza Atlético Sullana|37|24.7|6|129 mil €|4,78 mill. €|Transfermarkt|2021|2026-06-11 19:18:48
