club|estadio|capacidad|aforo|fuente|temporada|fecha_carga
Club Alianza Lima|Estadio Alejandro Villanueva|33938|33938|Transfermarkt|2021|2026-06-11 19:18:49
Deportivo Binacional|Estadio Guillermo Briceño Rosamedina|20000|20000|Transfermarkt|2021|2026-06-11 19:18:49
FBC Melgar|Estadio Monumental de la UNSA|40370|40370|Transfermarkt|2021|2026-06-11 19:18:49
Universitario de Deportes|Estadio Monumental de Lima|80093|80093|Transfermarkt|2021|2026-06-11 19:18:49
Club Sporting Cristal|Estadio Alberto Gallardo|18000|18000|Transfermarkt|2021|2026-06-11 19:18:49
Sport Boys Association|Estadio Miguel Grau|17000|17000|Transfermarkt|2021|2026-06-11 19:18:49
Club Cienciano|Estadio Garcilaso de la Vega|42056|42056|Transfermarkt|2021|2026-06-11 19:18:49
Deportivo Municipal|Estadio Municipal de Chorrillos|15000|15000|Transfermarkt|2021|2026-06-11 19:18:49
Universidad César Vallejo|Estadio César Acuña Peralta|2000|2000|Transfermarkt|2021|2026-06-11 19:18:49
Ayacucho FC|Estadio Las Américas|6500|6500|Transfermarkt|2021|2026-06-11 19:18:49
Alianza Universidad|No disponible|No disponible|No disponible|Transfermarkt|2021|2026-06-11 19:18:49
Cusco FC|No disponible|No disponible|No disponible|Transfermarkt|2021|2026-06-11 19:18:49
Academia Deportiva Cantolao|No disponible|No disponible|No disponible|Transfermarkt|2021|2026-06-11 19:18:49
Carlos A. Mannucci|No disponible|No disponible|No disponible|Transfermarkt|2021|2026-06-11 19:18:49
Universidad Técnica de Cajamarca|No disponible|No disponible|No disponible|Transfermarkt|2021|2026-06-11 19:18:49
Alianza Atlético Sullana|No disponible|No disponible|No disponible|Transfermarkt|2021|2026-06-11 19:18:49
