club|estadio|capacidad|aforo|fuente|temporada|fecha_carga
Club Sporting Cristal|Estadio Alberto Gallardo|18000|18000|Transfermarkt|2024|2026-06-11 21:32:21
Universitario de Deportes|Estadio Monumental de Lima|80093|80093|Transfermarkt|2024|2026-06-11 21:32:21
Club Alianza Lima|Estadio Alejandro Villanueva|33938|33938|Transfermarkt|2024|2026-06-11 21:32:21
Universidad César Vallejo|Estadio César Acuña Peralta|2000|2000|Transfermarkt|2024|2026-06-11 21:32:21
Club Cienciano|Estadio Garcilaso de la Vega|42056|42056|Transfermarkt|2024|2026-06-11 21:32:21
FBC Melgar|Estadio Monumental de la UNSA|40370|40370|Transfermarkt|2024|2026-06-11 21:32:21
Sport Boys Association|Estadio Miguel Grau|17000|17000|Transfermarkt|2024|2026-06-11 21:32:21
CD Unión Comercio|Estadio Carlos Vidaurre García|12000|12000|Transfermarkt|2024|2026-06-11 21:32:21
Sport Huancayo|No disponible|No disponible|No disponible|Transfermarkt|2024|2026-06-11 21:32:21
Deportivo Garcilaso|No disponible|No disponible|No disponible|Transfermarkt|2024|2026-06-11 21:32:21
CD Los Chankas|No disponible|No disponible|No disponible|Transfermarkt|2024|2026-06-11 21:32:21
Cusco FC|No disponible|No disponible|No disponible|Transfermarkt|2024|2026-06-11 21:32:21
Carlos A. Mannucci|No disponible|No disponible|No disponible|Transfermarkt|2024|2026-06-11 21:32:21
Club Atlético Grau|No disponible|No disponible|No disponible|Transfermarkt|2024|2026-06-11 21:32:21
Comerciantes Unidos|No disponible|No disponible|No disponible|Transfermarkt|2024|2026-06-11 21:32:21
Alianza Atlético Sullana|No disponible|No disponible|No disponible|Transfermarkt|2024|2026-06-11 21:32:21
Universidad Técnica de Cajamarca|No disponible|No disponible|No disponible|Transfermarkt|2024|2026-06-11 21:32:21
Asociación Deportiva Tarma|No disponible|No disponible|No disponible|Transfermarkt|2024|2026-06-11 21:32:21
