id_tm|jugador|club|clubtm|ano|foto_url|competencia|partidos_jugados|titularidades|ppp|goles|asistencias|tarjetas_amarillas|tarjeta_amarilla_roja|tarjetas_rojas|entrada_suplente|salida_suplente|penaltis_anotados|goles_en_contra|partidos_imbatido|min_por_gol|minutos_jugados|datos_disponibles|fuente|temporada|fecha_carga
158515|Alejandro Duarte|Club Sporting Cristal|1450|2024|https://img.a.transfermarkt.technology/portrait/header/158515-1776886037.jpg?lm=1|Liga 1 Clausura|17|1|0.0|0|0|0|1|0|0|0|0|3|0|0|90|True|Transfermarkt|2024|2026-06-30 17:50:35
158515|Alejandro Duarte|Club Sporting Cristal|1450|2024|https://img.a.transfermarkt.technology/portrait/header/158515-1776886037.jpg?lm=1|Liga 1 Apertura|1|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|True|Transfermarkt|2024|2026-06-30 17:50:35
439069|Renato Solís|Club Sporting Cristal|1450|2024|https://img.a.transfermarkt.technology/portrait/header/439069-1770127602.png?lm=1|Liga 1 Clausura|0|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|True|Transfermarkt|2024|2026-06-30 17:50:35
439069|Renato Solís|Club Sporting Cristal|1450|2024|https://img.a.transfermarkt.technology/portrait/header/439069-1770127602.png?lm=1|Liga 1 Apertura|16|16|2.31|0|0|0|3|0|0|0|0|20|4|0|1440|True|Transfermarkt|2024|2026-06-30 17:50:35
662693|Diego Enríquez|Club Sporting Cristal|1450|2024|https://img.a.transfermarkt.technology/portrait/header/662693-1770126645.png?lm=1|Liga 1 Clausura|17|16|2.13|0|0|0|0|0|0|0|0|12|7|0|1440|True|Transfermarkt|2024|2026-06-30 17:50:35
662693|Diego Enríquez|Club Sporting Cristal|1450|2024|https://img.a.transfermarkt.technology/portrait/header/662693-1770126645.png?lm=1|Liga 1 Apertura|16|1|3.0|0|0|0|0|0|0|0|0|0|1|0|90|True|Transfermarkt|2024|2026-06-30 17:50:35
805148|Matías Córdova|Club Sporting Cristal|1450|2024|https://img.a.transfermarkt.technology/portrait/header/805148-1778162609.jpg?lm=1|Liga 1 Clausura|0|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|True|Transfermarkt|2024|2026-06-30 17:50:35
805148|Matías Córdova|Club Sporting Cristal|1450|2024|https://img.a.transfermarkt.technology/portrait/header/805148-1778162609.jpg?lm=1|Liga 1 Apertura|0|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|True|Transfermarkt|2024|2026-06-30 17:50:35
1239934|César Bautista|Club Sporting Cristal|1450|2024|https://img.a.transfermarkt.technology/portrait/header/1239934-1770125897.png?lm=1|Liga 1 Apertura|1|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|True|Transfermarkt|2024|2026-06-30 17:50:35
624291|Ignácio|Club Sporting Cristal|1450|2024|https://img.a.transfermarkt.technology/portrait/header/624291-1721252131.jpg?lm=1|Liga 1 Clausura|1|1|0.0|0|0|0|0|0|0|0|0|0|0|0|90|True|Transfermarkt|2024|2026-06-30 17:50:35
624291|Ignácio|Club Sporting Cristal|1450|2024|https://img.a.transfermarkt.technology/portrait/header/624291-1721252131.jpg?lm=1|Liga 1 Apertura|17|17|2.35|5|1|2|0|0|0|0|0|0|0|306|1530|True|Transfermarkt|2024|2026-06-30 17:50:35
441727|Gianfranco Chávez|Club Sporting Cristal|1450|2024|https://img.a.transfermarkt.technology/portrait/header/441727-1776885913.jpg?lm=1|Liga 1 Clausura|16|11|1.45|1|0|0|0|0|2|1|0|0|0|811|811|True|Transfermarkt|2024|2026-06-30 17:50:35
441727|Gianfranco Chávez|Club Sporting Cristal|1450|2024|https://img.a.transfermarkt.technology/portrait/header/441727-1776885913.jpg?lm=1|Liga 1 Apertura|17|14|2.0|0|0|2|0|0|4|0|0|0|0|0|985|True|Transfermarkt|2024|2026-06-30 17:50:35
665112|Rafael Lutiger|Club Sporting Cristal|1450|2024|https://img.a.transfermarkt.technology/portrait/header/665112-1770127174.png?lm=1|Liga 1 Clausura|13|7|1.71|1|1|1|0|0|3|2|0|0|0|354|354|True|Transfermarkt|2024|2026-06-30 17:50:35
665112|Rafael Lutiger|Club Sporting Cristal|1450|2024|https://img.a.transfermarkt.technology/portrait/header/665112-1770127174.png?lm=1|Liga 1 Apertura|0|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|True|Transfermarkt|2024|2026-06-30 17:50:35
