club|entrenador|fecha_nacimiento|nacionalidad|comienzo|salida|tiempo_en_cargo|partidos|ppp|fuente|temporada|fecha_carga
Club Sporting Cristal|Roberto Mosquera|21/06/1956|Perú|08/06/2026||3 días|0|-|Transfermarkt|2024|2026-06-11 21:32:21
Club Sporting Cristal|Iván Bulos|20/05/1993|Perú|02/04/2026|08/04/2026|6 días|1|0,00|Transfermarkt|2024|2026-06-11 21:32:21
Club Sporting Cristal|Zé Ricardo|13/03/1971|Brasil, Italia|02/04/2026|05/06/2026|64 días|14|1,00|Transfermarkt|2024|2026-06-11 21:32:21
Club Sporting Cristal|Paulo Autuori|25/08/1956|Brasil|16/04/2025|25/03/2026|343 días|46|1,74|Transfermarkt|2024|2026-06-11 21:32:21
Club Sporting Cristal|Jorge Soto|21/10/1971|Perú|10/04/2025|20/04/2025|10 días|2|1,50|Transfermarkt|2024|2026-06-11 21:32:21
Club Sporting Cristal|Guillermo Farré|16/03/1981|Argentina|17/06/2024|10/04/2025|297 días|26|1,69|Transfermarkt|2024|2026-06-11 21:32:21
Club Sporting Cristal|Enderson Moreira|28/09/1971|Brasil|24/11/2023|31/05/2024|189 días|19|2,26|Transfermarkt|2024|2026-06-11 21:32:21
Club Sporting Cristal|Tiago Nunes|15/02/1980|Brasil|17/11/2022|11/11/2023|359 días|47|1,79|Transfermarkt|2024|2026-06-11 21:32:21
Club Sporting Cristal|Roberto Mosquera|21/06/1956|Perú|23/02/2020|07/11/2022|988 días|115|1,93|Transfermarkt|2024|2026-06-11 21:32:21
Club Sporting Cristal|Jorge Soto|21/10/1971|Perú|20/02/2020|23/02/2020|3 días|1|1,00|Transfermarkt|2024|2026-06-11 21:32:21
Universitario de Deportes|Héctor Cúper|16/11/1955|Argentina, Italia|11/05/2026||31 días|4|1,50|Transfermarkt|2024|2026-06-11 21:32:21
Universitario de Deportes|Jorge Araujo|30/11/1979|Perú|21/04/2026|17/05/2026|26 días|7|1,43|Transfermarkt|2024|2026-06-11 21:32:21
Universitario de Deportes|Javier Rabanal|19/04/1979|España|21/12/2025|21/04/2026|121 días|12|1,58|Transfermarkt|2024|2026-06-11 21:32:21
Universitario de Deportes|Jorge Fossati|22/11/1952|Uruguay, Italia|20/04/2025|11/12/2025|235 días|32|2,03|Transfermarkt|2024|2026-06-11 21:32:21
Universitario de Deportes|Manuel Barreto|12/09/1982|Perú|14/04/2025|25/04/2025|11 días|2|3,00|Transfermarkt|2024|2026-06-11 21:32:21
Universitario de Deportes|Fabián Bustos|28/03/1969|Argentina|29/12/2023|14/04/2025|472 días|49|2,02|Transfermarkt|2024|2026-06-11 21:32:21
Universitario de Deportes|Jorge Fossati|22/11/1952|Uruguay, Italia|07/03/2023|13/12/2023|281 días|42|2,00|Transfermarkt|2024|2026-06-11 21:32:21
Universitario de Deportes|Jorge Araujo|30/11/1979|Perú|01/03/2023|06/03/2023|5 días|1|3,00|Transfermarkt|2024|2026-06-11 21:32:21
Universitario de Deportes|Carlos Compagnucci|06/08/1968|Argentina, Italia|20/06/2022|28/02/2023|253 días|24|1,63|Transfermarkt|2024|2026-06-11 21:32:21
Universitario de Deportes|Jorge Araujo|30/11/1979|Perú|19/04/2022|16/06/2022|58 días|6|1,50|Transfermarkt|2024|2026-06-11 21:32:21
Universitario de Deportes|Manuel Barreto|12/09/1982|Perú|03/02/2022|07/02/2022|4 días|1|3,00|Transfermarkt|2024|2026-06-11 21:32:21
