club|estadio|capacidad|aforo|fuente|temporada|fecha_carga
Club Alianza Lima|Estadio Alejandro Villanueva|33938|33938|Transfermarkt|2025|2026-06-23 00:29:33
Club Sporting Cristal|Estadio Alberto Gallardo|18000|18000|Transfermarkt|2025|2026-06-23 00:29:33
Universitario de Deportes|Estadio Monumental de Lima|80093|80093|Transfermarkt|2025|2026-06-23 00:29:33
FBC Melgar|Estadio Monumental de la UNSA|40370|40370|Transfermarkt|2025|2026-06-23 00:29:33
Club Cienciano|Estadio Garcilaso de la Vega|42056|42056|Transfermarkt|2025|2026-06-23 00:29:33
Alianza Universidad|Estadio Heraclio Tapia|25000|25000|Transfermarkt|2025|2026-06-23 00:29:33
Comerciantes Unidos|Juan Maldonado Gamarra|13000|13000|Transfermarkt|2025|2026-06-23 00:29:33
Club Atlético Grau|Estadio Campeones del 36|12000|12000|Transfermarkt|2025|2026-06-23 00:29:33
Sport Boys Association|Estadio Miguel Grau|17000|17000|Transfermarkt|2025|2026-06-23 00:29:33
CD Los Chankas|No disponible|No disponible|No disponible|Transfermarkt|2025|2026-06-23 00:29:33
Deportivo Garcilaso|No disponible|No disponible|No disponible|Transfermarkt|2025|2026-06-23 00:29:33
Asociación Deportiva Tarma|No disponible|No disponible|No disponible|Transfermarkt|2025|2026-06-23 00:29:33
Alianza Atlético Sullana|No disponible|No disponible|No disponible|Transfermarkt|2025|2026-06-23 00:29:33
Sport Huancayo|No disponible|No disponible|No disponible|Transfermarkt|2025|2026-06-23 00:29:33
Universidad Técnica de Cajamarca|No disponible|No disponible|No disponible|Transfermarkt|2025|2026-06-23 00:29:33
Ayacucho FC|No disponible|No disponible|No disponible|Transfermarkt|2025|2026-06-23 00:29:33
Club Juan Pablo II College|No disponible|No disponible|No disponible|Transfermarkt|2025|2026-06-23 00:29:33
Cusco FC|No disponible|No disponible|No disponible|Transfermarkt|2025|2026-06-23 00:29:33
Deportivo Binacional|No disponible|No disponible|No disponible|Transfermarkt|2025|2026-06-23 00:29:33
