ano|club|jugadores_en_plantilla|edad_promedio|extranjeros|valor_medio|valor_total|fuente|temporada|fecha_carga
2025|Club Alianza Lima|41|25.3|9|523000|21430000|Transfermarkt|2025|2026-06-23 00:29:33
2025|Club Sporting Cristal|46|23.0|8|375000|17250000|Transfermarkt|2025|2026-06-23 00:29:33
2025|Universitario de Deportes|32|26.5|8|458000|14650000|Transfermarkt|2025|2026-06-23 00:29:33
2025|FBC Melgar|41|24.2|11|331000|13580000|Transfermarkt|2025|2026-06-23 00:29:33
2025|Club Cienciano|36|27.1|13|328000|11800000|Transfermarkt|2025|2026-06-23 00:29:33
2025|Alianza Universidad|39|27.3|7|245000|9550000|Transfermarkt|2025|2026-06-23 00:29:33
2025|Comerciantes Unidos|39|25.8|9|245000|9550000|Transfermarkt|2025|2026-06-23 00:29:33
2025|Club Atlético Grau|29|24.8|6|316000|9150000|Transfermarkt|2025|2026-06-23 00:29:33
2025|Sport Boys Association|38|24.0|9|219000|8330000|Transfermarkt|2025|2026-06-23 00:29:33
2025|CD Los Chankas|31|26.4|7|265000|8230000|Transfermarkt|2025|2026-06-23 00:29:33
2025|Deportivo Garcilaso|31|25.9|8|252000|7830000|Transfermarkt|2025|2026-06-23 00:29:33
2025|Asociación Deportiva Tarma|31|26.9|7|252000|7800000|Transfermarkt|2025|2026-06-23 00:29:33
2025|Alianza Atlético Sullana|30|24.8|7|251000|7540000|Transfermarkt|2025|2026-06-23 00:29:33
2025|Sport Huancayo|32|26.5|6|223000|7130000|Transfermarkt|2025|2026-06-23 00:29:33
2025|Universidad Técnica de Cajamarca|27|26.9|6|263000|7100000|Transfermarkt|2025|2026-06-23 00:29:33
2025|Ayacucho FC|38|25.6|7|178000|6760000|Transfermarkt|2025|2026-06-23 00:29:33
2025|Club Juan Pablo II College|34|24.1|7|192000|6530000|Transfermarkt|2025|2026-06-23 00:29:33
2025|Cusco FC|27|25.4|9|231000|6230000|Transfermarkt|2025|2026-06-23 00:29:33
2025|Deportivo Binacional|31|25.6|5|156000|4850000|Transfermarkt|2025|2026-06-23 00:29:33
