ano|club|numero|jugador|posicion|fecha_nacimiento|nacionalidad|altura|pie|fecha_fichaje|valor_mercado|fuente|temporada|fecha_carga
2020|FBC Melgar|12|Carlos Cáceda|Portero|27/09/1991 (27)|Perú|1,85m|Derecho|01/01/2020|500000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|FBC Melgar|1|Ángelo Campos|Portero|27/04/1993 (25)|Perú|1,81m|Izquierdo|01/01/2019|150000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|FBC Melgar|35|Jorge Cabezudo|Portero|21/10/2001 (17)|Perú|1,88m|Derecho|01/01/2020||Transfermarkt|2020|2025-11-04 10:46:46
2020|FBC Melgar|8|Pablo Míguez|Defensa central|19/06/1987 (31)|Uruguay, Perú|1,84m|Derecho|06/01/2020|1000000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|FBC Melgar|2|Hernán Pellerano|Defensa central|04/06/1984 (34)|Argentina, Italia|1,83m|Derecho|05/01/2020|500000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|FBC Melgar|6|Paolo Fuentes|Defensa central|11/05/1996 (22)|Perú|1,82m|Derecho|01/01/2018|150000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|FBC Melgar|5|Jeremy Salas|Defensa central|25/02/1995 (23)|Perú|1,85m|Derecho|23/01/2020|75000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|FBC Melgar|15|Alec Deneumostier|Defensa central|05/05/1999 (19)|Perú, Bélgica|1,86m|Derecho|13/01/2018|50000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|FBC Melgar|-|Matías Lazo|Defensa central|11/07/2003 (15)|Perú|1,88m|Derecho|01/01/2021||Transfermarkt|2020|2025-11-04 10:46:46
2020|FBC Melgar|29|Paolo Reyna|Lateral izquierdo|13/10/2001 (17)|Perú|1,83m|Izquierdo|01/01/2019||Transfermarkt|2020|2025-11-04 10:46:46
2020|FBC Melgar|39|Eduardo Rabanal|Lateral derecho|30/01/1997 (21)|Perú|1,77m|Derecho|14/01/2020|225000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|FBC Melgar|24|Carlos Neyra|Lateral derecho|24/05/1995 (23)|Perú|1,70m|Derecho|01/01/2019|50000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|FBC Melgar|-|Emilio Saba|Lateral derecho|26/03/2001 (17)|Palestina, Perú|1,80m|Derecho|01/01/2021||Transfermarkt|2020|2025-11-04 10:46:46
2020|FBC Melgar|-|Pedro Ibáñez |Lateral derecho|16/01/2001 (17)|Perú|1,77m|Derecho|01/01/2021||Transfermarkt|2020|2025-11-04 10:46:46
2020|FBC Melgar|20|Edson Aubert|Pivote|24/11/1988 (30)|Perú|1,72m|Izquierdo|01/01/2020|200000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|FBC Melgar|27|Leonardo Mifflin|Pivote|04/01/2000 (18)|Perú|1,82m|Izquierdo|01/01/2018|150000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|FBC Melgar|-|Yimy Gamero|Pivote|07/01/2002 (16)|Perú|1,74m|Derecho|01/01/2021||Transfermarkt|2020|2025-11-04 10:46:46
2020|FBC Melgar|4|Jesús Pretell|Pivote|26/03/1999 (19)|Perú|1,72m|Derecho|31/01/2020||Transfermarkt|2020|2025-11-04 10:46:46
2020|FBC Melgar|19|Walter Tandazo|Pivote|14/06/2000 (18)|Perú|1,67m|Derecho|22/02/2019||Transfermarkt|2020|2025-11-04 10:46:46
2020|FBC Melgar|-|Hernán Hinostroza|Mediocentro|21/12/1993 (25)|Perú|1,76m|Derecho|30/01/2019|400000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|FBC Melgar|28|Alexis Arias|Mediocentro|13/12/1995 (23)|Perú|1,65m|Derecho|01/01/2014|400000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|FBC Melgar|16|Daniel Cabrera|Mediocentro|17/09/1997 (21)|Perú|1,70m|Derecho|10/01/2020|75000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|FBC Melgar|10|Joel Sánchez|Mediocentro ofensivo|11/06/1989 (29)|Perú|1,67m|Derecho|01/01/2019|600000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|FBC Melgar|-|Omar Tejeda|Mediocentro ofensivo|22/08/1988 (30)|México|1,74m|Izquierdo|01/01/2020|500000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|FBC Melgar|7|Joel Amoroso|Mediocentro ofensivo|08/01/1988 (30)|Argentina|1,85m|Derecho|01/07/2019|350000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|FBC Melgar|-|Jefferson Cáceres|Extremo izquierdo|22/08/2002 (16)|Perú|1,70m|Derecho|01/01/2021||Transfermarkt|2020|2025-11-04 10:46:46
2020|FBC Melgar|17|Hideyoshi Arakaki|Extremo derecho|02/01/1998 (20)|Perú|1,65m|Derecho|01/01/2018|200000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|FBC Melgar|18|Michel Rasmussen|Extremo derecho|14/08/1999 (19)|Perú, Dinamarca|1,75m|Derecho|01/01/2019||Transfermarkt|2020|2025-11-04 10:46:46
2020|FBC Melgar|11|Írven Ávila|Delantero centro|02/07/1990 (28)|Perú|1,69m|Derecho|01/07/2019|1500000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|FBC Melgar|9|Othoniel Arce|Delantero centro|08/11/1989 (29)|México|1,90m|Izquierdo|01/01/2020|600000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|FBC Melgar|14|Jhonny Vidales|Delantero centro|22/04/1992 (26)|Perú|1,80m|Derecho|05/07/2025|400000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|24|Steven Rivadeneyra|Portero|02/11/1994 (24)|Perú|1,90m|Derecho|01/01/2020|200000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|1|Leao Butrón|Portero|06/03/1977 (41)|Perú, Italia|1,85m|Derecho|01/01/2015|100000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|27|Ítalo Espinoza|Portero|17/04/1996 (22)|Perú|1,88m|Derecho|01/01/2023|75000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|3|Rubert Quijada|Defensa central|10/02/1989 (29)|Venezuela|1,86m|Izquierdo|10/01/2020|600000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|6|Carlos Ascues|Defensa central|19/06/1992 (26)|Perú, Venezuela|1,87m|Derecho|05/01/2020|500000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|2|Aldair Salazar|Defensa central|19/08/1994 (24)|Perú|1,79m|Derecho|01/01/2019|350000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|-|Aldair Fuentes|Defensa central|25/01/1998 (20)|Perú|1,92m|Derecho|24/07/2024|325000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|14|Francisco Duclós|Defensa central|29/01/1996 (22)|Perú|1,85m|Izquierdo|01/01/2017|300000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|5|Alberto Rodríguez|Defensa central|31/03/1984 (34)|Perú|1,82m|Derecho|01/01/2020|250000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|-|Carlos Montoya|Defensa central|04/05/2002 (16)|Perú|1,78m|Derecho|01/01/2021||Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|12|Alexi Gómez|Lateral izquierdo|04/03/1993 (25)|Perú|1,74m|Izquierdo|01/01/2020|500000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|4|Anthony Rosell|Lateral izquierdo|20/04/1995 (23)|Perú|1,75m|Izquierdo|01/01/2019|225000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|-|Sebastián Cavero|Lateral izquierdo|20/06/2002 (16)|Perú|1,75m|Izquierdo|01/01/2021||Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|29|Dylan Caro|Lateral izquierdo|23/03/1999 (19)|Perú|1,70m|Izquierdo|22/02/2019||Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|19|Franco Medina|Lateral derecho|18/07/1999 (19)|Perú|1,79m|Derecho|01/01/2019||Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|25|Oslimg Mora|Lateral derecho|02/06/1999 (19)|Perú|1,73m|Derecho|01/01/2018||Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|30|Kluiverth Aguilar |Lateral derecho|05/05/2003 (15)|Perú|1,78m|Derecho|01/01/2020||Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|21|Josepmir Ballón|Pivote|21/03/1988 (30)|Perú|1,81m|Derecho|01/01/2020|550000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|13|Carlos Beltrán|Pivote|18/08/1990 (28)|Argentina, Perú|1,87m|Derecho|01/01/2019|350000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|-|Jeremi Escate|Pivote|04/03/2002 (16)|Perú|1,75m|Derecho|||Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|18|Rinaldo Cruzado|Mediocentro|21/09/1984 (34)|Perú|1,80m|Izquierdo|01/01/2017|175000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|-|Luis Aguiar|Mediocentro|17/11/1985 (33)|Uruguay, Italia|1,82m|Derecho|22/01/2020|100000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|28|Miguel Cornejo|Mediocentro|18/01/2000 (18)|Perú|1,70m|Derecho|01/07/2019||Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|10|Joazhiño Arroé|Mediocentro ofensivo|05/06/1992 (26)|Perú|1,74m|Derecho|01/01/2019|325000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|11|Beto da Silva|Extremo izquierdo|28/12/1996 (22)|Perú, Brasil|1,84m|Derecho|05/02/2020|400000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|-|Jean Deza|Extremo izquierdo|09/06/1993 (25)|Perú|1,80m|Derecho|01/01/2020|350000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|15|Kevin Ferreyra|Extremo izquierdo|07/06/1999 (19)|Perú|1,80m|Derecho|01/07/2018||Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|-|Didier La Torre |Extremo derecho|21/03/2002 (16)|Perú|1,78m|Derecho|||Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|9|Patricio Rubio|Delantero centro|18/04/1989 (29)|Chile|1,76m|Derecho|20/07/2020|725000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|-|Federico Rodríguez |Delantero centro|03/04/1991 (27)|Uruguay, España|1,85m|Izquierdo|13/07/2019|650000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|-|Adrián Balboa|Delantero centro|19/01/1994 (24)|Uruguay|1,86m|Derecho|08/07/2019|500000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|-|Cristian Zúñiga|Delantero centro|07/05/1992 (26)|Colombia|1,77m|Derecho|05/01/2020||Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|-|Sebastien Pineau|Delantero centro|20/01/2003 (15)|Perú, Chile|1,87m|Derecho|||Transfermarkt|2020|2025-11-04 10:46:46
2020|Club Alianza Lima|16|Gonzalo Sánchez|Delantero centro|06/05/2000 (18)|Perú, Italia|1,82m|Derecho|01/01/2018||Transfermarkt|2020|2025-11-04 10:46:46
2020|Universitario de Deportes|1|José Carvallo|Portero|01/03/1986 (32)|Perú|1,80m|Derecho|01/01/2019|200000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|Universitario de Deportes|12|Aamet Calderón|Portero|01/07/1998 (20)|Perú|1,85m|Derecho|01/01/2020|50000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|Universitario de Deportes|-|Mateo Said|Portero|16/10/2002 (16)|Perú, Suiza|1,93m|Derecho|||Transfermarkt|2020|2025-11-04 10:46:46
2020|Universitario de Deportes|21|Diego Romero|Portero|17/08/2001 (17)|Perú|1,89m|Derecho|01/01/2020||Transfermarkt|2020|2025-11-04 10:46:46
2020|Universitario de Deportes|29|Aldo Corzo |Defensa central|20/05/1989 (29)|Perú|1,75m|Derecho|01/01/2017|500000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|Universitario de Deportes|4|Federico Alonso|Defensa central|04/04/1991 (27)|Uruguay|1,86m|Derecho|10/01/2020|300000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|Universitario de Deportes|14|Brayan Velarde|Defensa central|18/02/1999 (19)|Perú|1,80m|Derecho|01/01/2018|300000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|Universitario de Deportes|8|Nelinho Quina|Defensa central|11/05/1987 (31)|Perú|1,83m|Izquierdo|01/01/2019|275000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|Universitario de Deportes|24|Junior Morales|Defensa central|22/06/1996 (22)|Perú|1,85m|Derecho|01/01/2018|100000.0|Transfermarkt|2020|2025-11-04 10:46:46
2020|Universitario de Deportes|2|Luis Valverde|Defensa central|07/04/2000 (18)|Perú|1,81m|Izquierdo|01/01/2019||Transfermarkt|2020|2025-11-04 10:46:46
2020|Universitario de Deportes|16|Iván Santillán|Lateral izquierdo|06/05/1991 (27)|Perú|1,77m|Izquierdo|01/01/2020|450000.0|Transfermarkt|2020|2025-11-04 10:46:46
