ano|club|numero|jugador|posicion|fecha_nacimiento|nacionalidad|altura|pie|fecha_fichaje|valor_mercado|fuente|temporada|fecha_carga
2021|Club Alianza Lima|12|Steven Rivadeneyra|Portero|02/11/1994 (25)|Perú|1,90m|Derecho|01/01/2020|400000.0|Transfermarkt|2021|2025-11-03 21:36:47
2021|Club Alianza Lima|31|Ángelo Campos|Portero|27/04/1993 (26)|Perú|1,81m|Izquierdo|25/03/2021|400000.0|Transfermarkt|2021|2025-11-03 21:36:47
2021|Club Alianza Lima|32|Franco Saravia |Portero|02/06/1999 (20)|Perú|1,85m|Derecho|01/01/2021||Transfermarkt|2021|2025-11-03 21:36:47
2021|Club Alianza Lima|6|Pablo Míguez|Defensa central|19/06/1987 (32)|Uruguay, Perú|1,84m|Derecho|18/02/2021|950000.0|Transfermarkt|2021|2025-11-03 21:36:47
2021|Club Alianza Lima|3|Jonathan Lacerda|Defensa central|07/02/1987 (32)|Uruguay|1,89m|Izquierdo|20/02/2021|800000.0|Transfermarkt|2021|2025-11-03 21:36:47
2021|Club Alianza Lima|22|Yordi Vílchez|Defensa central|13/02/1995 (24)|Perú|1,80m|Derecho|05/01/2021|350000.0|Transfermarkt|2021|2025-11-03 21:36:47
2021|Club Alianza Lima|4|Jefferson Portales|Defensa central|29/11/1997 (22)|Perú|1,94m|Derecho|02/03/2021|275000.0|Transfermarkt|2021|2025-11-03 21:36:47
2021|Club Alianza Lima|26|Carlos Montoya|Defensa central|04/05/2002 (17)|Perú|1,78m|Derecho|01/01/2021||Transfermarkt|2021|2025-11-03 21:36:47
2021|Club Alianza Lima|13|Ricardo Lagos|Lateral izquierdo|20/04/1996 (23)|Perú|1,71m|Izquierdo|30/01/2021|150000.0|Transfermarkt|2021|2025-11-03 21:36:47
2021|Club Alianza Lima|29|Dylan Caro|Lateral izquierdo|23/03/1999 (20)|Perú|1,70m|Izquierdo|22/02/2019|100000.0|Transfermarkt|2021|2025-11-03 21:36:47
2021|Club Alianza Lima|25|Oslimg Mora|Lateral derecho|02/06/1999 (20)|Perú|1,73m|Derecho|01/01/2018|300000.0|Transfermarkt|2021|2025-11-03 21:36:47
2021|Club Alianza Lima|5|Fabio Rojas|Lateral derecho|04/08/1999 (20)|Perú|1,79m|Derecho|01/01/2018|175000.0|Transfermarkt|2021|2025-11-03 21:36:47
2021|Club Alianza Lima|-|José Gallardo|Lateral derecho|15/02/2001 (18)|Perú|1,74m|Derecho|01/01/2020||Transfermarkt|2021|2025-11-03 21:36:47
2021|Club Alianza Lima|2|Erick Canales|Lateral derecho|07/06/2001 (18)|Perú|1,77m|Derecho|01/01/2021||Transfermarkt|2021|2025-11-03 21:36:47
2021|Club Alianza Lima|30|Kluiverth Aguilar |Lateral derecho|05/05/2003 (16)|Perú|1,78m|Derecho|01/01/2020||Transfermarkt|2021|2025-11-03 21:36:47
2021|Club Alianza Lima|21|Josepmir Ballón|Pivote|21/03/1988 (31)|Perú|1,81m|Derecho|01/01/2020|450000.0|Transfermarkt|2021|2025-11-03 21:36:47
2021|Club Alianza Lima|14|Axel Moyano|Pivote|03/01/2001 (18)|Perú|1,75m|Derecho|01/01/2021||Transfermarkt|2021|2025-11-03 21:36:47
2021|Club Alianza Lima|27|Oswaldo Valenzuela|Pivote|20/12/2000 (19)|Perú|1,80m|Derecho|01/01/2021||Transfermarkt|2021|2025-11-03 21:36:47
2021|Club Alianza Lima|20|Edhu Oliva|Mediocentro|17/01/1996 (23)|Perú|1,75m|Derecho|05/01/2021|350000.0|Transfermarkt|2021|2025-11-03 21:36:47
2021|Club Alianza Lima|17|Jairo Concha|Mediocentro|27/05/1999 (20)|Perú|1,75m|Derecho|20/02/2020|300000.0|Transfermarkt|2021|2025-11-03 21:36:47
2021|Club Alianza Lima|8|Miguel Cornejo|Mediocentro|18/01/2000 (19)|Perú|1,70m|Derecho|01/07/2019|50000.0|Transfermarkt|2021|2025-11-03 21:36:47
