club|estadio|capacidad|aforo|fuente|temporada|fecha_carga
FBC Melgar|Estadio Monumental de la UNSA|40370|40370|Transfermarkt|2020|2026-06-11 19:19:24
Club Alianza Lima|Estadio Alejandro Villanueva|33938|33938|Transfermarkt|2020|2026-06-11 19:19:24
Universitario de Deportes|Estadio Monumental de Lima|80093|80093|Transfermarkt|2020|2026-06-11 19:19:24
Cusco FC|Estadio Inca Garcilaso de la Vega|45000|45000|Transfermarkt|2020|2026-06-11 19:19:24
Deportivo Binacional|Estadio Guillermo Briceño Rosamedina|20000|20000|Transfermarkt|2020|2026-06-11 19:19:24
FC Carlos Stein|Estadio Wilberto Herrera Carlín|0|0|Transfermarkt|2020|2026-06-11 19:19:24
Club Sporting Cristal|Estadio Alberto Gallardo|18000|18000|Transfermarkt|2020|2026-06-11 19:19:24
Universidad César Vallejo|Estadio César Acuña Peralta|2000|2000|Transfermarkt|2020|2026-06-11 19:19:24
Carlos A. Mannucci|Estadio Mansiche|24000|24000|Transfermarkt|2020|2026-06-11 19:19:24
Club Atlético Grau|Estadio Campeones del 36|12000|12000|Transfermarkt|2020|2026-06-11 19:19:24
Club Cienciano|No disponible|No disponible|No disponible|Transfermarkt|2020|2026-06-11 19:19:24
Ayacucho FC|No disponible|No disponible|No disponible|Transfermarkt|2020|2026-06-11 19:19:24
Alianza Universidad|No disponible|No disponible|No disponible|Transfermarkt|2020|2026-06-11 19:19:24
Sport Boys Association|No disponible|No disponible|No disponible|Transfermarkt|2020|2026-06-11 19:19:24
Universidad Técnica de Cajamarca|No disponible|No disponible|No disponible|Transfermarkt|2020|2026-06-11 19:19:24
Deportivo Llacuabamba|No disponible|No disponible|No disponible|Transfermarkt|2020|2026-06-11 19:19:24
Deportivo Municipal|No disponible|No disponible|No disponible|Transfermarkt|2020|2026-06-11 19:19:24
Academia Deportiva Cantolao|No disponible|No disponible|No disponible|Transfermarkt|2020|2026-06-11 19:19:24
