club|entrenador|fecha_nacimiento|nacionalidad|comienzo|salida|tiempo_en_cargo|partidos|ppp|fuente|temporada|fecha_carga
FBC Melgar|Miguel Rondelli|24/01/1978|Argentina, Italia|28/03/2026||75 días|9|1,89|Transfermarkt|2020|2026-06-11 19:19:24
FBC Melgar|Juan Reynoso|28/12/1969|Perú|05/08/2025|21/03/2026|228 días|21|1,48|Transfermarkt|2020|2026-06-11 19:19:24
FBC Melgar|Víctor Balta|03/01/1986|Perú|28/07/2025|11/08/2025|14 días|3|0,67|Transfermarkt|2020|2026-06-11 19:19:24
FBC Melgar|Walter Ribonetto|06/07/1974|Argentina|01/01/2025|28/07/2025|208 días|30|1,57|Transfermarkt|2020|2026-06-11 19:19:24
FBC Melgar|Marco Valencia|01/08/1971|Perú|28/05/2024|06/11/2024|162 días|17|1,88|Transfermarkt|2020|2026-06-11 19:19:24
FBC Melgar|Marco Valencia|01/08/1971|Perú|05/03/2024|28/05/2024|84 días|11|2,82|Transfermarkt|2020|2026-06-11 19:19:24
FBC Melgar|Pablo de Muner|14/04/1981|Argentina, Italia|01/01/2024|04/03/2024|63 días|8|1,00|Transfermarkt|2020|2026-06-11 19:19:24
FBC Melgar|Mariano Soso|30/04/1981|Argentina|14/03/2023|21/11/2023|252 días|37|1,78|Transfermarkt|2020|2026-06-11 19:19:24
FBC Melgar|Marco Valencia|01/08/1971|Perú|06/03/2023|19/03/2023|13 días|1|1,00|Transfermarkt|2020|2026-06-11 19:19:24
FBC Melgar|Pablo Lavallén|07/09/1972|Argentina|08/07/2022|06/03/2023|241 días|29|1,59|Transfermarkt|2020|2026-06-11 19:19:24
FBC Melgar|Néstor Lorenzo|28/02/1966|Argentina|01/01/2021|07/07/2022|552 días|63|1,86|Transfermarkt|2020|2026-06-11 19:19:24
FBC Melgar|Marco Valencia|01/08/1971|Perú|25/09/2020|31/12/2020|97 días|17|1,65|Transfermarkt|2020|2026-06-11 19:19:24
Club Alianza Lima|Pablo Guede|12/11/1974|Argentina, España|12/12/2025||181 días|19|2,16|Transfermarkt|2020|2026-06-11 19:19:24
Club Alianza Lima|Néstor Gorosito|14/05/1964|Argentina|01/01/2025|31/12/2025|364 días|55|1,80|Transfermarkt|2020|2026-06-11 19:19:24
Club Alianza Lima|Mariano Soso|30/04/1981|Argentina|07/08/2024|21/11/2024|106 días|12|2,00|Transfermarkt|2020|2026-06-11 19:19:24
Club Alianza Lima|Diego Ortiz|29/03/1989|Perú|29/07/2024|07/08/2024|9 días|2|3,00|Transfermarkt|2020|2026-06-11 19:19:24
Club Alianza Lima|Alejandro Restrepo|30/01/1982|Colombia|24/11/2023|27/07/2024|246 días|26|1,65|Transfermarkt|2020|2026-06-11 19:19:24
Club Alianza Lima|Mauricio Larriera|26/08/1970|Uruguay|02/08/2023|10/11/2023|100 días|13|2,00|Transfermarkt|2020|2026-06-11 19:19:24
Club Alianza Lima|Nixon Perea|15/08/1973|Colombia|24/07/2023|07/08/2023|14 días|2|2,00|Transfermarkt|2020|2026-06-11 19:19:24
Club Alianza Lima|Guillermo Salas|21/10/1974|Perú|11/09/2022|24/07/2023|316 días|39|2,08|Transfermarkt|2020|2026-06-11 19:19:24
Club Alianza Lima|Carlos Bustos|16/04/1966|Argentina|15/01/2021|11/09/2022|604 días|62|1,81|Transfermarkt|2020|2026-06-11 19:19:24
Club Alianza Lima|Daniel Ahmed|22/11/1965|Argentina, Perú|06/11/2020|02/12/2020|26 días|6|0,17|Transfermarkt|2020|2026-06-11 19:19:24
Club Alianza Lima|Guillermo Salas|21/10/1974|Perú|01/11/2020|04/11/2020|3 días|1|3,00|Transfermarkt|2020|2026-06-11 19:19:24
Club Alianza Lima|Mario Salas|11/10/1967|Chile|02/04/2020|01/11/2020|213 días|19|0,84|Transfermarkt|2020|2026-06-11 19:19:24
Club Alianza Lima|Guillermo Salas|21/10/1974|Perú|12/03/2020|14/03/2020|2 días|1|0,00|Transfermarkt|2020|2026-06-11 19:19:24
Universitario de Deportes|Héctor Cúper|16/11/1955|Argentina, Italia|11/05/2026||31 días|4|1,50|Transfermarkt|2020|2026-06-11 19:19:24
Universitario de Deportes|Jorge Araujo|30/11/1979|Perú|21/04/2026|17/05/2026|26 días|7|1,43|Transfermarkt|2020|2026-06-11 19:19:24
Universitario de Deportes|Javier Rabanal|19/04/1979|España|21/12/2025|21/04/2026|121 días|12|1,58|Transfermarkt|2020|2026-06-11 19:19:24
Universitario de Deportes|Jorge Fossati|22/11/1952|Uruguay, Italia|20/04/2025|11/12/2025|235 días|32|2,03|Transfermarkt|2020|2026-06-11 19:19:24
Universitario de Deportes|Manuel Barreto|12/09/1982|Perú|14/04/2025|25/04/2025|11 días|2|3,00|Transfermarkt|2020|2026-06-11 19:19:24
Universitario de Deportes|Fabián Bustos|28/03/1969|Argentina|29/12/2023|14/04/2025|472 días|49|2,02|Transfermarkt|2020|2026-06-11 19:19:24
Universitario de Deportes|Jorge Fossati|22/11/1952|Uruguay, Italia|07/03/2023|13/12/2023|281 días|42|2,00|Transfermarkt|2020|2026-06-11 19:19:24
Universitario de Deportes|Jorge Araujo|30/11/1979|Perú|01/03/2023|06/03/2023|5 días|1|3,00|Transfermarkt|2020|2026-06-11 19:19:24
Universitario de Deportes|Carlos Compagnucci|06/08/1968|Argentina, Italia|20/06/2022|28/02/2023|253 días|24|1,63|Transfermarkt|2020|2026-06-11 19:19:24
Universitario de Deportes|Jorge Araujo|30/11/1979|Perú|19/04/2022|16/06/2022|58 días|6|1,50|Transfermarkt|2020|2026-06-11 19:19:24
Universitario de Deportes|Manuel Barreto|12/09/1982|Perú|03/02/2022|07/02/2022|4 días|1|3,00|Transfermarkt|2020|2026-06-11 19:19:24
Universitario de Deportes|Álvaro Gutiérrez|21/07/1968|Uruguay|03/02/2022|18/04/2022|74 días|11|1,18|Transfermarkt|2020|2026-06-11 19:19:24
Universitario de Deportes|Gregorio Pérez|16/01/1948|Uruguay|04/09/2021|21/01/2022|139 días|8|2,63|Transfermarkt|2020|2026-06-11 19:19:24
Universitario de Deportes|Juan Pajuelo|23/09/1974|Perú|18/08/2021|04/09/2021|17 días|2|1,00|Transfermarkt|2020|2026-06-11 19:19:24
Universitario de Deportes|Ángel Comizzo|27/04/1962|Argentina, Italia|20/06/2020|18/08/2021|424 días|46|1,52|Transfermarkt|2020|2026-06-11 19:19:24
Universitario de Deportes|Gregorio Pérez|16/01/1948|Uruguay|01/01/2020|12/06/2020|163 días|10|1,80|Transfermarkt|2020|2026-06-11 19:19:24
Cusco FC|Javier Rabanal|19/04/1979|España|09/06/2026||2 días|0|-|Transfermarkt|2020|2026-06-11 19:19:24
Cusco FC|Alejandro Orfila|18/05/1976|Uruguay|30/03/2026|02/06/2026|64 días|15|1,20|Transfermarkt|2020|2026-06-11 19:19:24
Cusco FC|Miguel Rondelli|24/01/1978|Argentina, Italia|29/11/2023|27/03/2026|849 días|80|1,79|Transfermarkt|2020|2026-06-11 19:19:24
Cusco FC|Luis Flores|18/08/1964|Perú|19/09/2023|25/11/2023|67 días|6|0,83|Transfermarkt|2020|2026-06-11 19:19:24
Cusco FC|Pablo Peirano|21/01/1975|Uruguay|13/04/2022|19/09/2023|524 días|51|1,96|Transfermarkt|2020|2026-06-11 19:19:24
Cusco FC|Sergio Castellanos|18/04/1966|Argentina|20/08/2021|23/08/2021|3 días|1|0,00|Transfermarkt|2020|2026-06-11 19:19:24
Cusco FC|Marcelo Grioni|27/07/1966|Argentina|20/08/2021|06/04/2022|229 días|10|1,10|Transfermarkt|2020|2026-06-11 19:19:24
Cusco FC|Claudio Vivas|12/08/1968|Argentina|22/04/2021|18/08/2021|118 días|14|0,93|Transfermarkt|2020|2026-06-11 19:19:24
Cusco FC|Carlos Ramacciotti|29/05/1955|Argentina, Italia|07/10/2020|21/04/2021|196 días|16|1,25|Transfermarkt|2020|2026-06-11 19:19:24
Cusco FC|Fausto Paz|03/06/1975|Perú, Argentina|09/09/2020|15/09/2020|6 días|1|3,00|Transfermarkt|2020|2026-06-11 19:19:24
Cusco FC|Francisco Melgar|20/06/1973|Perú|09/09/2020|06/10/2020|27 días|5|0,40|Transfermarkt|2020|2026-06-11 19:19:24
Cusco FC|Carlos Ramacciotti|29/05/1955|Argentina, Italia|07/03/2020|09/09/2020|186 días|5|2,20|Transfermarkt|2020|2026-06-11 19:19:24
Cusco FC|Javier Arce|28/02/1957|Perú|01/01/2020|04/03/2020|63 días|7|0,86|Transfermarkt|2020|2026-06-11 19:19:24
Deportivo Binacional|César Loayza|21/06/1996|Perú|20/05/2026||22 días|2|1,50|Transfermarkt|2020|2026-06-11 19:19:24
Deportivo Binacional|Lizandro Barbarán|18/02/1964|Perú|26/03/2026|18/05/2026|53 días|6|0,50|Transfermarkt|2020|2026-06-11 19:19:24
Deportivo Binacional|Claudio Bustamante|12/12/1983|Perú|01/05/2025|31/12/2025|244 días|9|0,78|Transfermarkt|2020|2026-06-11 19:19:24
Deportivo Binacional|Luis Calmet||Perú|25/04/2025|01/05/2025|6 días|1|3,00|Transfermarkt|2020|2026-06-11 19:19:24
Deportivo Binacional|César Chávez-Riva|22/11/1964|Perú|08/04/2025|22/04/2025|14 días|2|0,50|Transfermarkt|2020|2026-06-11 19:19:24
Deportivo Binacional|Érick Torres|16/05/1975|Perú|16/01/2025|07/04/2025|81 días|6|1,17|Transfermarkt|2020|2026-06-11 19:19:24
Deportivo Binacional|Luis Flores|18/08/1964|Perú|05/08/2024|08/09/2024|34 días|6|2,00|Transfermarkt|2020|2026-06-11 19:19:24
Deportivo Binacional|Érick Torres|16/05/1975|Perú|10/06/2024|31/07/2024|51 días|6|1,50|Transfermarkt|2020|2026-06-11 19:19:24
Deportivo Binacional|César Chávez-Riva|22/11/1964|Perú|01/05/2024|10/06/2024|40 días|6|2,00|Transfermarkt|2020|2026-06-11 19:19:24
Deportivo Binacional|Aristóteles Ramos|09/03/1972|Perú|01/04/2024|01/05/2024|30 días|3|0,33|Transfermarkt|2020|2026-06-11 19:19:24
Deportivo Binacional|César Vaioli|26/04/1969|Argentina|04/08/2023|30/10/2023|87 días|13|1,08|Transfermarkt|2020|2026-06-11 19:19:24
Deportivo Binacional|Juan Manuel Azconzábal|08/09/1974|Argentina, Italia|19/06/2023|01/08/2023|43 días|5|0,60|Transfermarkt|2020|2026-06-11 19:19:24
Deportivo Binacional|Aristóteles Ramos|09/03/1972|Perú|01/06/2023|18/06/2023|17 días|2|1,50|Transfermarkt|2020|2026-06-11 19:19:24
Deportivo Binacional|José Díaz||Perú|20/05/2023|01/06/2023|12 días|2|1,50|Transfermarkt|2020|2026-06-11 19:19:24
Deportivo Binacional|Darío Franco|17/01/1969|Argentina, México|22/03/2023|19/05/2023|58 días|8|1,38|Transfermarkt|2020|2026-06-11 19:19:24
Deportivo Binacional|José Díaz||Perú|18/03/2023|02/04/2023|15 días|1|0,00|Transfermarkt|2020|2026-06-11 19:19:24
Deportivo Binacional|Wilmar Valencia|27/10/1961|Perú|26/01/2022|15/03/2023|413 días|41|1,41|Transfermarkt|2020|2026-06-11 19:19:24
Deportivo Binacional|Carlos Desio|25/01/1973|Argentina, Italia|01/06/2021|01/12/2021|183 días|20|1,20|Transfermarkt|2020|2026-06-11 19:19:24
Deportivo Binacional|César Vaioli|26/04/1969|Argentina|12/04/2021|01/06/2021|50 días|3|1,00|Transfermarkt|2020|2026-06-11 19:19:24
Deportivo Binacional|Rubén Insúa|17/04/1961|Argentina|07/04/2021|09/05/2021|32 días|3|0,33|Transfermarkt|2020|2026-06-11 19:19:24
Deportivo Binacional|César Chávez-Riva|22/11/1964|Perú|23/03/2021|07/04/2021|15 días|1|0,00|Transfermarkt|2020|2026-06-11 19:19:24
Deportivo Binacional|Luis Flores|18/08/1964|Perú|06/11/2020|22/03/2021|136 días|8|0,88|Transfermarkt|2020|2026-06-11 19:19:24
Deportivo Binacional|César Chávez-Riva|22/11/1964|Perú|30/10/2020|05/11/2020|6 días|2|3,00|Transfermarkt|2020|2026-06-11 19:19:24
Deportivo Binacional|Javier Arce|28/02/1957|Perú|08/09/2020|26/10/2020|48 días|13|0,62|Transfermarkt|2020|2026-06-11 19:19:24
Deportivo Binacional|Flabio Torres|07/12/1970|Colombia|24/02/2020|08/09/2020|197 días|8|1,13|Transfermarkt|2020|2026-06-11 19:19:24
Deportivo Binacional|César Vigevani|30/08/1974|Argentina|01/01/2020|10/02/2020|40 días|3|1,00|Transfermarkt|2020|2026-06-11 19:19:24
FC Carlos Stein|Ágapo Gonzales|25/03/1967|Perú|16/04/2026||56 días|0|-|Transfermarkt|2020|2026-06-11 19:19:24
FC Carlos Stein|Orlando Lavalle|22/06/1969|Perú|01/02/2025|31/12/2025|333 días|16|1,00|Transfermarkt|2020|2026-06-11 19:19:24
FC Carlos Stein|Ramón Perleche||Perú|11/06/2024|31/12/2024|203 días|11|0,00|Transfermarkt|2020|2026-06-11 19:19:24
FC Carlos Stein|Andy Loayza|23/01/1993|Perú|10/06/2024|31/07/2024|51 días|0|-|Transfermarkt|2020|2026-06-11 19:19:24
FC Carlos Stein|Gino Reyes||Perú|05/06/2024|14/06/2024|9 días|1|0,00|Transfermarkt|2020|2026-06-11 19:19:24
FC Carlos Stein|Marcelo Revuelta|21/09/1965|Argentina|01/03/2024|01/06/2024|92 días|6|0,00|Transfermarkt|2020|2026-06-11 19:19:24
FC Carlos Stein|Moisés Cabada|02/11/1985|Perú|09/09/2023|31/12/2023|113 días|3|0,00|Transfermarkt|2020|2026-06-11 19:19:24
FC Carlos Stein|Orlando Lavalle|22/06/1969|Perú|14/06/2023|04/09/2023|82 días|13|0,31|Transfermarkt|2020|2026-06-11 19:19:24
FC Carlos Stein|Iván Chávez|10/06/1970|Perú|12/05/2023|14/06/2023|33 días|6|0,17|Transfermarkt|2020|2026-06-11 19:19:24
FC Carlos Stein|Marcelo Vivas|08/02/1966|Argentina|21/03/2023|12/05/2023|52 días|3|0,00|Transfermarkt|2020|2026-06-11 19:19:24
FC Carlos Stein|Javier Arce|28/02/1957|Perú|19/09/2022|31/12/2022|103 días|8|0,25|Transfermarkt|2020|2026-06-11 19:19:24
FC Carlos Stein|Daniel Valderrama|05/08/1970|Perú|05/09/2022|19/09/2022|14 días|2|0,00|Transfermarkt|2020|2026-06-11 19:19:24
FC Carlos Stein|Tabaré Silva|30/08/1974|Uruguay|20/07/2022|05/09/2022|47 días|6|0,50|Transfermarkt|2020|2026-06-11 19:19:24
FC Carlos Stein|Daniel Valderrama|05/08/1970|Perú|14/07/2022|19/07/2022|5 días|1|1,00|Transfermarkt|2020|2026-06-11 19:19:24
FC Carlos Stein|Tabaré Silva|30/08/1974|Uruguay|11/04/2022|14/07/2022|94 días|11|0,82|Transfermarkt|2020|2026-06-11 19:19:24
FC Carlos Stein|Jahir Butrón|30/10/1975|Perú|06/08/2021|05/04/2022|242 días|23|1,57|Transfermarkt|2020|2026-06-11 19:19:24
FC Carlos Stein|Iván Chávez|10/06/1970|Perú|30/07/2021|06/08/2021|7 días|1|0,00|Transfermarkt|2020|2026-06-11 19:19:24
FC Carlos Stein|Rafael Castillo|26/09/1960|Perú|08/06/2021|30/07/2021|52 días|8|1,25|Transfermarkt|2020|2026-06-11 19:19:24
FC Carlos Stein|Iván Chávez|10/06/1970|Perú|02/06/2021|05/06/2021|3 días|1|0,00|Transfermarkt|2020|2026-06-11 19:19:24
FC Carlos Stein|Miguel Zahzú|24/02/1966|Argentina|01/01/2021|01/06/2021|151 días|3|1,67|Transfermarkt|2020|2026-06-11 19:19:24
FC Carlos Stein|Daniel Valderrama|05/08/1970|Perú|09/11/2020|14/12/2020|35 días|5|1,40|Transfermarkt|2020|2026-06-11 19:19:24
FC Carlos Stein|Juan Carlos Bazalar|23/02/1968|Perú|23/09/2020|08/11/2020|46 días|10|0,80|Transfermarkt|2020|2026-06-11 19:19:24
FC Carlos Stein|Iván Chávez|10/06/1970|Perú|20/09/2020|23/09/2020|3 días|1|3,00|Transfermarkt|2020|2026-06-11 19:19:24
FC Carlos Stein|Orlando Lavalle|22/06/1969|Perú|01/01/2020|18/09/2020|261 días|12|0,83|Transfermarkt|2020|2026-06-11 19:19:24
Club Sporting Cristal|Roberto Mosquera|21/06/1956|Perú|08/06/2026||3 días|0|-|Transfermarkt|2020|2026-06-11 19:19:24
Club Sporting Cristal|Iván Bulos|20/05/1993|Perú|02/04/2026|08/04/2026|6 días|1|0,00|Transfermarkt|2020|2026-06-11 19:19:24
