ano|club|numero|jugador|posicion|fecha_nacimiento|nacionalidad|altura|pie|fecha_fichaje|valor_mercado|id_tm|slug_tm|foto_url|verein_id_tm|fuente|temporada|fecha_carga
2020|FBC Melgar|12|Carlos Cáceda|Portero|27/09/1991 (27)|Perú|1,84m|Derecho|01/01/2020|500000|94359|carlos-caceda|https://img.a.transfermarkt.technology/portrait/header/94359-1678473743.jpg?lm=1|2734|Transfermarkt|2020|2026-06-30 04:39:11
2020|FBC Melgar|1|Ángelo Campos|Portero|27/04/1993 (25)|Perú|1,81m|Izquierdo|01/01/2019|150000|257991|angelo-campos|https://img.a.transfermarkt.technology/portrait/header/257991-1777823262.jpg?lm=1|2734|Transfermarkt|2020|2026-06-30 04:39:11
2020|FBC Melgar|35|Jorge Cabezudo|Portero|21/10/2001 (17)|Perú|1,92m|Derecho|01/01/2020|-|785133|jorge-cabezudo|https://img.a.transfermarkt.technology/portrait/header/785133-1678473694.jpg?lm=1|2734|Transfermarkt|2020|2026-06-30 04:39:11
2020|FBC Melgar|2|Hernán Pellerano|Defensa central|04/06/1984 (34)|Argentina, Italia|1,83m|Derecho|05/01/2020|500000|26801|hernan-pellerano|https://img.a.transfermarkt.technology/portrait/header/s_26801_3302_2012_3.jpg?lm=1|2734|Transfermarkt|2020|2026-06-30 04:39:11
2020|FBC Melgar|6|Paolo Fuentes|Defensa central|11/05/1996 (22)|Perú|1,82m|Derecho|01/01/2018|150000|375178|paolo-fuentes|https://img.a.transfermarkt.technology/portrait/header/375178-1739233762.jpg?lm=1|2734|Transfermarkt|2020|2026-06-30 04:39:11
2020|FBC Melgar|5|Jeremy Salas|Defensa central|25/02/1995 (23)|Perú|1,85m|Derecho|23/01/2020|75000|423774|jeremy-salas|https://img.a.transfermarkt.technology/portrait/header/423774-1717456252.jpg?lm=1|2734|Transfermarkt|2020|2026-06-30 04:39:11
2020|FBC Melgar|15|Alec Deneumostier|Defensa central|05/05/1999 (19)|Perú, Bélgica|1,84m|Derecho|13/01/2018|50000|621029|alec-deneumostier|https://img.a.transfermarkt.technology/portrait/header/621029-1678473964.jpg?lm=1|2734|Transfermarkt|2020|2026-06-30 04:39:11
2020|FBC Melgar|-|Matías Lazo|Defensa central|11/07/2003 (15)|Perú|1,88m|Derecho|01/01/2021|-|831138|matias-lazo|https://img.a.transfermarkt.technology/portrait/header/831138-1678474013.jpg?lm=1|2734|Transfermarkt|2020|2026-06-30 04:39:11
2020|FBC Melgar|29|Paolo Reyna|Lateral izquierdo|13/10/2001 (17)|Perú|1,83m|Izquierdo|01/01/2019|-|655639|paolo-reyna|https://img.a.transfermarkt.technology/portrait/header/655639-1770730747.jpg?lm=1|2734|Transfermarkt|2020|2026-06-30 04:39:11
2020|FBC Melgar|39|Eduardo Rabanal|Lateral derecho|30/01/1997 (21)|Perú|1,77m|Derecho|14/01/2020|225000|390609|eduardo-rabanal|https://img.a.transfermarkt.technology/portrait/header/390609-1705509283.JPG?lm=1|2734|Transfermarkt|2020|2026-06-30 04:39:11
2020|FBC Melgar|24|Carlos Neyra|Lateral derecho|24/05/1995 (23)|Perú|1,70m|Derecho|01/01/2019|50000|368844|carlos-neyra|https://img.a.transfermarkt.technology/portrait/header/368844-1674593694.jpg?lm=1|2734|Transfermarkt|2020|2026-06-30 04:39:11
2020|FBC Melgar|-|Emilio Saba|Lateral derecho|26/03/2001 (17)|Palestina, Perú|1,80m|Derecho|01/01/2021|-|805862|emilio-saba|https://img.a.transfermarkt.technology/portrait/header/805862-1771422167.jpg?lm=1|2734|Transfermarkt|2020|2026-06-30 04:39:11
2020|FBC Melgar|-|Pedro Ibáñez|Lateral derecho|16/01/2001 (17)|Perú|1,77m|Derecho|01/01/2021|-|825119|pedro-ibanez|https://img.a.transfermarkt.technology/portrait/header/825119-1678477852.jpg?lm=1|2734|Transfermarkt|2020|2026-06-30 04:39:11
2020|FBC Melgar|8|Pablo Míguez|Pivote|19/06/1987 (31)|Uruguay, Perú|1,84m|Derecho|06/01/2020|1000000|76717|pablo-miguez|https://img.a.transfermarkt.technology/portrait/header/76717-1652212012.jpg?lm=1|2734|Transfermarkt|2020|2026-06-30 04:39:11
2020|FBC Melgar|20|Edson Aubert|Pivote|24/11/1988 (30)|Perú|1,72m|Izquierdo|01/01/2020|200000|106283|edson-aubert|https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1|2734|Transfermarkt|2020|2026-06-30 04:39:11
2020|FBC Melgar|27|Leonardo Mifflin|Pivote|04/01/2000 (18)|Perú|1,82m|Izquierdo|01/01/2018|150000|491569|leonardo-mifflin|https://img.a.transfermarkt.technology/portrait/header/491569-1678474033.jpg?lm=1|2734|Transfermarkt|2020|2026-06-30 04:39:11
