ano|club|jugadores_en_plantilla|edad_promedio|extranjeros|valor_medio|valor_total|fuente|temporada|fecha_carga
2020|FBC Melgar|31|23.3|6|260 mil €|8,08 mill. €|Transfermarkt|2020|2026-06-11 19:19:23
2020|Club Alianza Lima|34|24.2|7|222 mil €|7,55 mill. €|Transfermarkt|2020|2026-06-11 19:19:23
2020|Universitario de Deportes|29|23.8|5|222 mil €|6,43 mill. €|Transfermarkt|2020|2026-06-11 19:19:23
2020|Cusco FC|34|24.6|5|187 mil €|6,35 mill. €|Transfermarkt|2020|2026-06-11 19:19:23
2020|Deportivo Binacional|32|26.6|6|191 mil €|6,13 mill. €|Transfermarkt|2020|2026-06-11 19:19:23
2020|FC Carlos Stein|34|26.4|6|174 mil €|5,93 mill. €|Transfermarkt|2020|2026-06-11 19:19:23
2020|Club Sporting Cristal|32|22.2|6|183 mil €|5,85 mill. €|Transfermarkt|2020|2026-06-11 19:19:23
2020|Universidad César Vallejo|26|24.7|5|223 mil €|5,80 mill. €|Transfermarkt|2020|2026-06-11 19:19:23
2020|Carlos A. Mannucci|30|25.1|5|188 mil €|5,63 mill. €|Transfermarkt|2020|2026-06-11 19:19:23
2020|Club Atlético Grau|36|23.9|4|149 mil €|5,38 mill. €|Transfermarkt|2020|2026-06-11 19:19:23
2020|Club Cienciano|38|24.8|7|135 mil €|5,13 mill. €|Transfermarkt|2020|2026-06-11 19:19:23
2020|Ayacucho FC|27|24.8|5|172 mil €|4,65 mill. €|Transfermarkt|2020|2026-06-11 19:19:23
2020|Alianza Universidad|32|26.3|5|135 mil €|4,33 mill. €|Transfermarkt|2020|2026-06-11 19:19:23
2020|Sport Boys Association|29|25.0|4|137 mil €|3,98 mill. €|Transfermarkt|2020|2026-06-11 19:19:23
2020|Universidad Técnica de Cajamarca|29|23.6|5|133 mil €|3,85 mill. €|Transfermarkt|2020|2026-06-11 19:19:23
2020|Deportivo Llacuabamba|35|25.7|5|107 mil €|3,75 mill. €|Transfermarkt|2020|2026-06-11 19:19:23
2020|Deportivo Municipal|28|23.6|5|123 mil €|3,45 mill. €|Transfermarkt|2020|2026-06-11 19:19:23
2020|Academia Deportiva Cantolao|32|23.3|4|101 mil €|3,23 mill. €|Transfermarkt|2020|2026-06-11 19:19:23
