ano|club|jugadores_en_plantilla|edad_promedio|extranjeros|valor_medio|valor_total|fuente|temporada|fecha_carga
2023|Club Sporting Cristal|38|22.4|6|389 mil €|14,78 mill. €|Transfermarkt|2023|2026-06-11 21:31:12
2023|Club Alianza Lima|39|23.8|7|374 mil €|14,58 mill. €|Transfermarkt|2023|2026-06-11 21:31:12
2023|Universitario de Deportes|31|25.3|6|454 mil €|14,08 mill. €|Transfermarkt|2023|2026-06-11 21:31:12
2023|FBC Melgar|32|24.0|7|301 mil €|9,63 mill. €|Transfermarkt|2023|2026-06-11 21:31:12
2023|Club Cienciano|36|25.7|11|249 mil €|8,95 mill. €|Transfermarkt|2023|2026-06-11 21:31:12
2023|Universidad César Vallejo|35|24.9|6|226 mil €|7,93 mill. €|Transfermarkt|2023|2026-06-11 21:31:12
2023|Cusco FC|27|27.0|7|285 mil €|7,70 mill. €|Transfermarkt|2023|2026-06-11 21:31:12
2023|Carlos A. Mannucci|28|26.7|5|271 mil €|7,58 mill. €|Transfermarkt|2023|2026-06-11 21:31:12
2023|Alianza Atlético Sullana|34|23.7|7|195 mil €|6,63 mill. €|Transfermarkt|2023|2026-06-11 21:31:12
2023|Sport Boys Association|36|25.3|6|181 mil €|6,53 mill. €|Transfermarkt|2023|2026-06-11 21:31:12
2023|CD Unión Comercio|36|26.1|7|179 mil €|6,45 mill. €|Transfermarkt|2023|2026-06-11 21:31:12
2023|Deportivo Garcilaso|30|27.3|4|212 mil €|6,35 mill. €|Transfermarkt|2023|2026-06-11 21:31:12
2023|Club Atlético Grau|27|26.4|5|234 mil €|6,33 mill. €|Transfermarkt|2023|2026-06-11 21:31:12
2023|Deportivo Binacional|31|25.2|5|203 mil €|6,30 mill. €|Transfermarkt|2023|2026-06-11 21:31:12
2023|Deportivo Municipal|37|23.4|7|161 mil €|5,98 mill. €|Transfermarkt|2023|2026-06-11 21:31:12
2023|Universidad Técnica de Cajamarca|26|26.5|5|223 mil €|5,80 mill. €|Transfermarkt|2023|2026-06-11 21:31:12
2023|Asociación Deportiva Tarma|31|25.8|7|187 mil €|5,80 mill. €|Transfermarkt|2023|2026-06-11 21:31:12
2023|Sport Huancayo|31|26.8|6|183 mil €|5,68 mill. €|Transfermarkt|2023|2026-06-11 21:31:12
2023|Academia Deportiva Cantolao|36|24.5|7|151 mil €|5,45 mill. €|Transfermarkt|2023|2026-06-11 21:31:12
