id_tm|jugador|club|clubtm|ano|foto_url|competencia|partidos_jugados|titularidades|ppp|goles|asistencias|tarjetas_amarillas|tarjeta_amarilla_roja|tarjetas_rojas|entrada_suplente|salida_suplente|penaltis_anotados|goles_en_contra|partidos_imbatido|min_por_gol|minutos_jugados|datos_disponibles|fuente|temporada|fecha_carga
158515|Alejandro Duarte|Club Sporting Cristal|1450|2023|https://img.a.transfermarkt.technology/portrait/header/158515-1776886037.jpg?lm=1|Liga 1 Clausura|14|3|2.33|0|0|0|1|0|0|0|0|3|1|0|270|True|Transfermarkt|2023|2026-06-30 16:00:50
158515|Alejandro Duarte|Club Sporting Cristal|1450|2023|https://img.a.transfermarkt.technology/portrait/header/158515-1776886037.jpg?lm=1|Liga 1 Apertura|10|3|2.33|0|0|0|1|0|0|0|0|1|2|0|270|True|Transfermarkt|2023|2026-06-30 16:00:50
439069|Renato Solís|Club Sporting Cristal|1450|2023|https://img.a.transfermarkt.technology/portrait/header/439069-1770127602.png?lm=1|Liga 1 Clausura|16|15|1.93|0|0|0|0|0|0|0|0|10|9|0|1350|True|Transfermarkt|2023|2026-06-30 16:00:50
439069|Renato Solís|Club Sporting Cristal|1450|2023|https://img.a.transfermarkt.technology/portrait/header/439069-1770127602.png?lm=1|Liga 1 Apertura|16|13|1.85|0|0|0|0|0|0|0|0|13|3|0|1170|True|Transfermarkt|2023|2026-06-30 16:00:50
621032|Emile Franco|Club Sporting Cristal|1450|2023|https://img.a.transfermarkt.technology/portrait/header/621032-1619975081.png?lm=1|Liga 1 Clausura|0|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|True|Transfermarkt|2023|2026-06-30 16:00:50
621032|Emile Franco|Club Sporting Cristal|1450|2023|https://img.a.transfermarkt.technology/portrait/header/621032-1619975081.png?lm=1|Liga 1 Apertura|4|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|True|Transfermarkt|2023|2026-06-30 16:00:50
805148|Matías Córdova|Club Sporting Cristal|1450|2023|https://img.a.transfermarkt.technology/portrait/header/805148-1778162609.jpg?lm=1|Liga 1 Clausura|6|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|True|Transfermarkt|2023|2026-06-30 16:00:50
805148|Matías Córdova|Club Sporting Cristal|1450|2023|https://img.a.transfermarkt.technology/portrait/header/805148-1778162609.jpg?lm=1|Liga 1 Apertura|4|1|1.0|0|0|0|1|0|0|0|0|4|0|0|90|True|Transfermarkt|2023|2026-06-30 16:00:50
441727|Gianfranco Chávez|Club Sporting Cristal|1450|2023|https://img.a.transfermarkt.technology/portrait/header/441727-1776885913.jpg?lm=1|Liga 1 Clausura|17|15|1.73|1|0|3|0|0|1|3|0|0|0|1148|1148|True|Transfermarkt|2023|2026-06-30 16:00:50
441727|Gianfranco Chávez|Club Sporting Cristal|1450|2023|https://img.a.transfermarkt.technology/portrait/header/441727-1776885913.jpg?lm=1|Liga 1 Apertura|16|15|2.0|0|0|2|0|0|0|1|0|0|0|0|1340|True|Transfermarkt|2023|2026-06-30 16:00:50
624291|Ignácio|Club Sporting Cristal|1450|2023|https://img.a.transfermarkt.technology/portrait/header/624291-1721252131.jpg?lm=1|Liga 1 Clausura|17|17|2.06|2|0|5|0|0|0|0|0|0|0|765|1530|True|Transfermarkt|2023|2026-06-30 16:00:50
624291|Ignácio|Club Sporting Cristal|1450|2023|https://img.a.transfermarkt.technology/portrait/header/624291-1721252131.jpg?lm=1|Liga 1 Apertura|14|14|1.93|1|0|6|0|0|0|2|0|0|0|1237|1237|True|Transfermarkt|2023|2026-06-30 16:00:50
665112|Rafael Lutiger|Club Sporting Cristal|1450|2023|https://img.a.transfermarkt.technology/portrait/header/665112-1770127174.png?lm=1|Liga 1 Clausura|16|10|1.7|0|0|2|0|1|4|4|0|0|0|0|537|True|Transfermarkt|2023|2026-06-30 16:00:50
665112|Rafael Lutiger|Club Sporting Cristal|1450|2023|https://img.a.transfermarkt.technology/portrait/header/665112-1770127174.png?lm=1|Liga 1 Apertura|16|12|2.08|1|0|4|0|1|1|6|0|0|0|868|868|True|Transfermarkt|2023|2026-06-30 16:00:50
891814|Flavio Alcedo|Club Sporting Cristal|1450|2023|https://img.a.transfermarkt.technology/portrait/header/891814-1778162087.jpg?lm=1|Liga 1 Clausura|2|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|True|Transfermarkt|2023|2026-06-30 16:00:50
891814|Flavio Alcedo|Club Sporting Cristal|1450|2023|https://img.a.transfermarkt.technology/portrait/header/891814-1778162087.jpg?lm=1|Liga 1 Apertura|11|4|1.25|0|0|0|1|0|2|1|0|0|0|0|162|True|Transfermarkt|2023|2026-06-30 16:00:50
908423|Leonardo Díaz|Club Sporting Cristal|1450|2023|https://img.a.transfermarkt.technology/portrait/header/908423-1770126503.png?lm=1|Liga 1 Clausura|9|5|2.4|1|0|0|0|0|2|2|0|0|0|280|280|True|Transfermarkt|2023|2026-06-30 16:00:50
908423|Leonardo Díaz|Club Sporting Cristal|1450|2023|https://img.a.transfermarkt.technology/portrait/header/908423-1770126503.png?lm=1|Liga 1 Apertura|16|12|1.17|0|1|2|0|0|8|2|0|0|0|0|524|True|Transfermarkt|2023|2026-06-30 16:00:50
981819|Alejandro Pósito|Club Sporting Cristal|1450|2023|https://img.a.transfermarkt.technology/portrait/header/981819-1770127442.png?lm=1|Liga 1 Clausura|0|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|True|Transfermarkt|2023|2026-06-30 16:00:50
