ano|club|numero|jugador|posicion|fecha_nacimiento|nacionalidad|altura|pie|fecha_fichaje|valor_mercado|id_tm|slug_tm|foto_url|verein_id_tm|fuente|temporada|fecha_carga
2022|Club Alianza Lima|12|Jonathan Medina|Portero|29/04/1993 (27)|Perú|1,89m|Derecho|05/01/2022|300000|260429|jonathan-medina|https://img.a.transfermarkt.technology/portrait/header/260429-1652211881.jpg?lm=1|184|Transfermarkt|2022|2026-06-30 06:13:36
2022|Club Alianza Lima|1|Ángelo Campos|Portero|27/04/1993 (27)|Perú|1,81m|Izquierdo|25/03/2021|250000|257991|angelo-campos|https://img.a.transfermarkt.technology/portrait/header/257991-1777823262.jpg?lm=1|184|Transfermarkt|2022|2026-06-30 06:13:36
2022|Club Alianza Lima|-|Ángel de la Cruz|Portero|24/05/2002 (18)|Perú|1,98m|Derecho|01/01/2024|-|662712|angel-de-la-cruz|https://img.a.transfermarkt.technology/portrait/header/662712-1776885976.jpg?lm=1|184|Transfermarkt|2022|2026-06-30 06:13:36
2022|Club Alianza Lima|32|Franco Saravia|Portero|02/06/1999 (21)|Perú|1,85m|Derecho|01/01/2021|-|654296|franco-saravia|https://img.a.transfermarkt.technology/portrait/header/654296-1677428517.jpg?lm=1|184|Transfermarkt|2022|2026-06-30 06:13:36
2022|Club Alianza Lima|20|Aldair Fuentes|Defensa central|25/01/1998 (22)|Perú|1,92m|Derecho|24/07/2024|800000|480523|aldair-fuentes|https://img.a.transfermarkt.technology/portrait/header/480523-1652210462.jpg?lm=1|184|Transfermarkt|2022|2026-06-30 06:13:36
2022|Club Alianza Lima|4|Jefferson Portales|Defensa central|29/11/1997 (23)|Perú|1,95m|Derecho|02/03/2021|325000|582098|jefferson-portales|https://img.a.transfermarkt.technology/portrait/header/582098-1652212042.jpg?lm=1|184|Transfermarkt|2022|2026-06-30 06:13:36
2022|Club Alianza Lima|3|Yordi Vílchez|Defensa central|13/02/1995 (25)|Perú|1,80m|Derecho|05/01/2021|300000|338977|yordi-vilchez|https://img.a.transfermarkt.technology/portrait/header/338977-1778163184.jpg?lm=1|184|Transfermarkt|2022|2026-06-30 06:13:36
2022|Club Alianza Lima|5|Christian Ramos|Defensa central|04/11/1988 (32)|Perú|1,82m|Derecho|01/01/2022|300000|84506|christian-ramos|https://img.a.transfermarkt.technology/portrait/header/84506-1652212105.jpg?lm=1|184|Transfermarkt|2022|2026-06-30 06:13:36
2022|Club Alianza Lima|26|Carlos Montoya|Defensa central|04/05/2002 (18)|Perú|1,78m|Derecho|01/01/2021|100000|662710|carlos-montoya|https://img.a.transfermarkt.technology/portrait/header/662710-1677427973.jpg?lm=1|184|Transfermarkt|2022|2026-06-30 06:13:36
2022|Club Alianza Lima|13|Ricardo Lagos|Lateral izquierdo|20/04/1996 (24)|Perú|1,71m|Izquierdo|30/01/2021|400000|653364|ricardo-lagos|https://img.a.transfermarkt.technology/portrait/header/653364-1736797159.jpg?lm=1|184|Transfermarkt|2022|2026-06-30 06:13:36
2022|Club Alianza Lima|11|Sebastián Cavero|Lateral izquierdo|20/06/2002 (18)|Perú|1,75m|Izquierdo|01/01/2021|-|662706|sebastian-cavero|https://img.a.transfermarkt.technology/portrait/header/662706-1678474048.jpg?lm=1|184|Transfermarkt|2022|2026-06-30 06:13:36
