ano|club|jugadores_en_plantilla|edad_promedio|extranjeros|valor_medio|valor_total|fuente|temporada|fecha_carga
2022|Club Alianza Lima|35|25.0|7|382 mil €|13,38 mill. €|Transfermarkt|2022|2026-06-12 00:39:46
2022|Club Sporting Cristal|31|23.9|6|367 mil €|11,38 mill. €|Transfermarkt|2022|2026-06-12 00:39:46
2022|Universitario de Deportes|39|24.2|6|282 mil €|11,00 mill. €|Transfermarkt|2022|2026-06-12 00:39:46
2022|Carlos A. Mannucci|30|24.8|6|263 mil €|7,88 mill. €|Transfermarkt|2022|2026-06-12 00:39:46
2022|FBC Melgar|28|23.9|5|266 mil €|7,45 mill. €|Transfermarkt|2022|2026-06-12 00:39:46
2022|Club Atlético Grau|32|26.6|6|216 mil €|6,93 mill. €|Transfermarkt|2022|2026-06-12 00:39:46
2022|Ayacucho FC|36|24.1|6|188 mil €|6,75 mill. €|Transfermarkt|2022|2026-06-12 00:39:46
2022|Club Cienciano|28|24.8|8|221 mil €|6,18 mill. €|Transfermarkt|2022|2026-06-12 00:39:46
2022|Deportivo Municipal|28|24.3|6|212 mil €|5,93 mill. €|Transfermarkt|2022|2026-06-12 00:39:46
2022|Universidad César Vallejo|28|25.0|5|204 mil €|5,70 mill. €|Transfermarkt|2022|2026-06-12 00:39:46
2022|FC Carlos Stein|41|25.9|6|134 mil €|5,48 mill. €|Transfermarkt|2022|2026-06-12 00:39:46
2022|Sport Boys Association|34|24.7|5|157 mil €|5,33 mill. €|Transfermarkt|2022|2026-06-12 00:39:46
2022|Universidad Técnica de Cajamarca|31|23.7|8|165 mil €|5,10 mill. €|Transfermarkt|2022|2026-06-12 00:39:46
2022|Academia Deportiva Cantolao|35|24.6|6|140 mil €|4,90 mill. €|Transfermarkt|2022|2026-06-12 00:39:46
2022|Alianza Atlético Sullana|34|25.4|5|142 mil €|4,83 mill. €|Transfermarkt|2022|2026-06-12 00:39:46
2022|Deportivo Binacional|28|26.5|6|162 mil €|4,53 mill. €|Transfermarkt|2022|2026-06-12 00:39:46
2022|Asociación Deportiva Tarma|32|26.5|7|141 mil €|4,50 mill. €|Transfermarkt|2022|2026-06-12 00:39:46
