club|estadio|capacidad|aforo|fuente|temporada|fecha_carga
Club Alianza Lima|Estadio Alejandro Villanueva|33938|33938|Transfermarkt|2022|2026-06-12 00:39:47
Club Sporting Cristal|Estadio Alberto Gallardo|18000|18000|Transfermarkt|2022|2026-06-12 00:39:47
Universitario de Deportes|Estadio Monumental de Lima|80093|80093|Transfermarkt|2022|2026-06-12 00:39:47
Carlos A. Mannucci|Estadio Mansiche|24000|24000|Transfermarkt|2022|2026-06-12 00:39:47
FBC Melgar|Estadio Monumental de la UNSA|40370|40370|Transfermarkt|2022|2026-06-12 00:39:47
Club Atlético Grau|Estadio Campeones del 36|12000|12000|Transfermarkt|2022|2026-06-12 00:39:47
Ayacucho FC|Estadio Las Américas|6500|6500|Transfermarkt|2022|2026-06-12 00:39:47
Club Cienciano|Estadio Garcilaso de la Vega|42056|42056|Transfermarkt|2022|2026-06-12 00:39:47
Deportivo Municipal|Estadio Municipal de Chorrillos|15000|15000|Transfermarkt|2022|2026-06-12 00:39:47
Universidad César Vallejo|Estadio César Acuña Peralta|2000|2000|Transfermarkt|2022|2026-06-12 00:39:47
FC Carlos Stein|No disponible|No disponible|No disponible|Transfermarkt|2022|2026-06-12 00:39:47
Sport Boys Association|No disponible|No disponible|No disponible|Transfermarkt|2022|2026-06-12 00:39:47
Universidad Técnica de Cajamarca|No disponible|No disponible|No disponible|Transfermarkt|2022|2026-06-12 00:39:47
Academia Deportiva Cantolao|No disponible|No disponible|No disponible|Transfermarkt|2022|2026-06-12 00:39:47
Alianza Atlético Sullana|No disponible|No disponible|No disponible|Transfermarkt|2022|2026-06-12 00:39:47
Deportivo Binacional|No disponible|No disponible|No disponible|Transfermarkt|2022|2026-06-12 00:39:47
Asociación Deportiva Tarma|No disponible|No disponible|No disponible|Transfermarkt|2022|2026-06-12 00:39:47
