id_tm|jugador|club|clubtm|ano|foto_url|competencia|partidos_jugados|titularidades|ppp|goles|asistencias|tarjetas_amarillas|tarjeta_amarilla_roja|tarjetas_rojas|entrada_suplente|salida_suplente|penaltis_anotados|goles_en_contra|partidos_imbatido|min_por_gol|minutos_jugados|datos_disponibles|fuente|temporada|fecha_carga
643063|Diego Romero|Universitario de Deportes|6593|2026|https://img.a.transfermarkt.technology/portrait/header/643063-1770731016.jpg?lm=1|Liga 1 Apertura|17|10|1.9|0|0|0|1|0|0|0|0|9|4|0|900|True|Transfermarkt|2026|2026-06-30 19:49:58
352338|Miguel Vargas|Universitario de Deportes|6593|2026|https://img.a.transfermarkt.technology/portrait/header/352338-1770731230.jpg?lm=1|Liga 1 Apertura|17|7|1.43|0|0|0|0|0|0|0|0|6|3|0|630|True|Transfermarkt|2026|2026-06-30 19:49:58
1076585|Jhefferson Rodríguez|Universitario de Deportes|6593|2026|https://img.a.transfermarkt.technology/portrait/header/1076585-1770730958.jpg?lm=1|Liga 1 Apertura|0|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|True|Transfermarkt|2026|2026-06-30 19:49:58
142745|Anderson Santamaría|Universitario de Deportes|6593|2026|https://img.a.transfermarkt.technology/portrait/header/142745-1770731082.jpg?lm=1|Liga 1 Apertura|13|10|1.6|1|1|3|0|0|2|3|0|0|0|720|720|True|Transfermarkt|2026|2026-06-30 19:49:58
457058|Williams Riveros|Universitario de Deportes|6593|2026|https://img.a.transfermarkt.technology/portrait/header/457058-1770730870.jpg?lm=1|Liga 1 Apertura|13|12|1.33|1|0|4|0|1|1|1|0|0|0|972|972|True|Transfermarkt|2026|2026-06-30 19:49:58
619072|Caín Fara|Universitario de Deportes|6593|2026|https://img.a.transfermarkt.technology/portrait/header/619072-1770729910.jpg?lm=1|Liga 1 Apertura|16|16|1.81|2|0|1|0|0|0|1|0|0|0|698|1395|True|Transfermarkt|2026|2026-06-30 19:49:58
441344|Matías Di Benedetto|Universitario de Deportes|6593|2026|https://img.a.transfermarkt.technology/portrait/header/441344-1770729855.jpg?lm=1|Liga 1 Apertura|9|8|1.88|0|0|2|0|0|0|0|0|0|0|0|720|True|Transfermarkt|2026|2026-06-30 19:49:58
94437|Aldo Corzo|Universitario de Deportes|6593|2026|https://img.a.transfermarkt.technology/portrait/header/94437-1770729793.jpg?lm=1|Liga 1 Apertura|15|5|0.8|0|0|1|0|0|2|1|0|0|0|0|279|True|Transfermarkt|2026|2026-06-30 19:49:58
1211527|Julinho Astudillo|Universitario de Deportes|28999|2026|https://img.a.transfermarkt.technology/portrait/header/1211527-1754429384.jpeg?lm=1|Liga 1 Apertura|6|1|1.0|0|0|0|0|0|0|1|0|0|0|0|45|True|Transfermarkt|2026|2026-06-30 19:49:58
965846|César Inga|Universitario de Deportes|6593|2026|https://img.a.transfermarkt.technology/portrait/header/965846-1770730431.jpg?lm=1|Liga 1 Apertura|16|14|1.14|0|0|0|0|0|5|2|0|0|0|0|858|True|Transfermarkt|2026|2026-06-30 19:49:58
655639|Paolo Reyna|Universitario de Deportes|6593|2026|https://img.a.transfermarkt.technology/portrait/header/655639-1770730747.jpg?lm=1|Liga 1 Apertura|9|3|1.67|0|0|1|0|0|2|1|0|0|0|0|94|True|Transfermarkt|2026|2026-06-30 19:49:58
672263|Hugo Ancajima|Universitario de Deportes||2026|https://img.a.transfermarkt.technology/portrait/header/672263-1770729370.jpg?lm=1||0|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|False|Transfermarkt|2026|2026-06-30 19:49:58
