club|estadio|capacidad|aforo|fuente|temporada|fecha_carga
Universitario de Deportes|Estadio Monumental de Lima|80093|80093|Transfermarkt|2026|2026-06-12 13:49:04
Club Alianza Lima|Estadio Alejandro Villanueva|33938|33938|Transfermarkt|2026|2026-06-12 13:49:04
Club Sporting Cristal|Estadio Alberto Gallardo|18000|18000|Transfermarkt|2026|2026-06-12 13:49:04
FBC Melgar|Estadio Monumental de la UNSA|40370|40370|Transfermarkt|2026|2026-06-12 13:49:04
Cusco FC|Estadio Inca Garcilaso de la Vega|45000|45000|Transfermarkt|2026|2026-06-12 13:49:04
Sport Boys Association|Estadio Miguel Grau|17000|17000|Transfermarkt|2026|2026-06-12 13:49:04
Deportivo Garcilaso|Estadio Inca Garcilaso de la Vega|45000|45000|Transfermarkt|2026|2026-06-12 13:49:04
Comerciantes Unidos|Juan Maldonado Gamarra|13000|13000|Transfermarkt|2026|2026-06-12 13:49:04
Club Cienciano|Estadio Garcilaso de la Vega|42056|42056|Transfermarkt|2026|2026-06-12 13:49:04
Alianza Atlético Sullana|Estadio Campeones del 36|12000|12000|Transfermarkt|2026|2026-06-12 13:49:04
Asociación Deportiva Tarma|Estadio Unión Tarma|9100|9100|Transfermarkt|2026|2026-06-12 13:49:04
Sport Huancayo|Estadio Huancayo|20000|20000|Transfermarkt|2026|2026-06-12 13:49:04
Club Juan Pablo II College|Complejo Deportivo Juan Pablo II|3000|3000|Transfermarkt|2026|2026-06-12 13:49:04
FC Cajamarca|No disponible|No disponible|No disponible|Transfermarkt|2026|2026-06-12 13:49:04
CD Los Chankas|No disponible|No disponible|No disponible|Transfermarkt|2026|2026-06-12 13:49:04
Universidad Técnica de Cajamarca|No disponible|No disponible|No disponible|Transfermarkt|2026|2026-06-12 13:49:04
Club Atlético Grau|No disponible|No disponible|No disponible|Transfermarkt|2026|2026-06-12 13:49:04
Deportivo Moquegua|No disponible|No disponible|No disponible|Transfermarkt|2026|2026-06-12 13:49:04
