ano|club|numero|jugador|posicion|fecha_nacimiento|nacionalidad|altura|pie|fecha_fichaje|valor_mercado|id_tm|slug_tm|foto_url|verein_id_tm|fuente|temporada|fecha_carga
2026|Universitario de Deportes|1|Diego Romero|Portero|17/08/2001 (24)|Perú|1,89m|Derecho|01/01/2020|1000000|643063|diego-romero|https://img.a.transfermarkt.technology/portrait/header/643063-1770731016.jpg?lm=1|6593|Transfermarkt|2026|2026-06-30 19:49:58
2026|Universitario de Deportes|25|Miguel Vargas|Portero|15/06/1996 (30)|Chile, Perú|1,84m|Derecho|01/01/2025|450000|352338|miguel-vargas|https://img.a.transfermarkt.technology/portrait/header/352338-1770731230.jpg?lm=1|6593|Transfermarkt|2026|2026-06-30 19:49:58
2026|Universitario de Deportes|12|Jhefferson Rodríguez|Portero|13/03/2006 (20)|Perú|1,83m|Derecho|01/01/2024|75000|1076585|jhefferson-rodriguez|https://img.a.transfermarkt.technology/portrait/header/1076585-1770730958.jpg?lm=1|6593|Transfermarkt|2026|2026-06-30 19:49:58
2026|Universitario de Deportes|4|Anderson Santamaría|Defensa central|10/01/1992 (34)|Perú|1,84m|Derecho|24/06/2025|500000|142745|anderson-santamaria|https://img.a.transfermarkt.technology/portrait/header/142745-1770731082.jpg?lm=1|6593|Transfermarkt|2026|2026-06-30 19:49:58
2026|Universitario de Deportes|3|Williams Riveros|Defensa central|20/11/1992 (33)|Paraguay|1,86m|Derecho|01/01/2024|400000|457058|williams-riveros|https://img.a.transfermarkt.technology/portrait/header/457058-1770730870.jpg?lm=1|6593|Transfermarkt|2026|2026-06-30 19:49:58
2026|Universitario de Deportes|2|Caín Fara|Defensa central|06/03/1994 (32)|Argentina|1,84m|Derecho|01/01/2026|250000|619072|cain-fara|https://img.a.transfermarkt.technology/portrait/header/619072-1770729910.jpg?lm=1|6593|Transfermarkt|2026|2026-06-30 19:49:58
2026|Universitario de Deportes|5|Matías Di Benedetto|Defensa central|19/11/1992 (33)|Argentina, Perú|1,84m|Izquierdo|01/01/2023|250000|441344|matias-di-benedetto|https://img.a.transfermarkt.technology/portrait/header/441344-1770729855.jpg?lm=1|6593|Transfermarkt|2026|2026-06-30 19:49:58
2026|Universitario de Deportes|29|Aldo Corzo|Defensa central|20/05/1989 (37)|Perú|1,75m|Derecho|01/01/2017|150000|94437|aldo-corzo|https://img.a.transfermarkt.technology/portrait/header/94437-1770729793.jpg?lm=1|6593|Transfermarkt|2026|2026-06-30 19:49:58
2026|Universitario de Deportes|-|Julinho Astudillo|Defensa central|01/07/2005 (20)|Perú|1,78m|Derecho|01/01/2024|50000|1211527|julinho-astudillo|https://img.a.transfermarkt.technology/portrait/header/1211527-1754429384.jpeg?lm=1|6593|Transfermarkt|2026|2026-06-30 19:49:58
2026|Universitario de Deportes|33|César Inga|Lateral izquierdo|30/04/2002 (24)|Perú|1,78m|Derecho|01/01/2025|1200000|965846|cesar-inga|https://img.a.transfermarkt.technology/portrait/header/965846-1770730431.jpg?lm=1|6593|Transfermarkt|2026|2026-06-30 19:49:58
2026|Universitario de Deportes|14|Paolo Reyna|Lateral izquierdo|13/10/2001 (24)|Perú|1,83m|Izquierdo|01/01/2025|450000|655639|paolo-reyna|https://img.a.transfermarkt.technology/portrait/header/655639-1770730747.jpg?lm=1|6593|Transfermarkt|2026|2026-06-30 19:49:58
2026|Universitario de Deportes|26|Hugo Ancajima|Lateral derecho|10/02/1998 (28)|Perú|1,80m|Derecho|01/01/2023|350000|672263|hugo-ancajima|https://img.a.transfermarkt.technology/portrait/header/672263-1770729370.jpg?lm=1|6593|Transfermarkt|2026|2026-06-30 19:49:58
2026|Universitario de Deportes|6|Jesús Castillo|Pivote|11/06/2001 (25)|Perú|1,85m|Derecho|01/07/2025|1200000|658848|jesus-castillo|https://img.a.transfermarkt.technology/portrait/header/658848-1770729601.jpg?lm=1|6593|Transfermarkt|2026|2026-06-30 19:49:58
2026|Universitario de Deportes|23|Jorge Murrugarra|Pivote|22/03/1997 (29)|Perú|1,77m|Derecho|04/01/2021|500000|486265|jorge-murrugarra|https://img.a.transfermarkt.technology/portrait/header/486265-1770730559.jpg?lm=1|6593|Transfermarkt|2026|2026-06-30 19:49:58
2026|Universitario de Deportes|17|Jairo Concha|Mediocentro|27/05/1999 (27)|Perú|1,75m|Derecho|10/01/2024|1600000|490717|jairo-concha|https://img.a.transfermarkt.technology/portrait/header/490717-1770729731.jpg?lm=1|6593|Transfermarkt|2026|2026-06-30 19:49:58
2026|Universitario de Deportes|-|Álvaro Rojas|Mediocentro|12/03/2005 (21)|Perú|1,74m|Derecho|01/01/2024|400000|1074429|alvaro-rojas|https://img.a.transfermarkt.technology/portrait/header/1074429-1738286085.png?lm=1|6593|Transfermarkt|2026|2026-06-30 19:49:58
2026|Universitario de Deportes|-|Josué Torres|Mediocentro|16/05/2004 (22)|Perú|1,70m|Derecho|24/01/2026|225000|1244025|josue-torres|https://img.a.transfermarkt.technology/portrait/header/1244025-1717456402.jpg?lm=1|6593|Transfermarkt|2026|2026-06-30 19:49:58
2026|Universitario de Deportes|10|Horacio Calcaterra|Mediocentro|22/02/1989 (37)|Perú, Argentina|1,77m|Derecho|01/01/2023|150000|77125|horacio-calcaterra|https://img.a.transfermarkt.technology/portrait/header/77125-1770729488.jpg?lm=1|6593|Transfermarkt|2026|2026-06-30 19:49:58
2026|Universitario de Deportes|16|Martín Pérez Guedes|Mediocentro|18/08/1991 (34)|Argentina, Perú|1,79m|Derecho|01/01/2023|-|207246|martin-perez-guedes|https://img.a.transfermarkt.technology/portrait/header/207246-1770730617.jpg?lm=1|6593|Transfermarkt|2026|2026-06-30 19:49:58
2026|Universitario de Deportes|35|Diogo Vásquez|Mediocentro|17/03/2007 (19)|Perú|1,75m|Derecho|24/01/2026|-|1506461|diogo-vasquez|https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1|6593|Transfermarkt|2026|2026-06-30 19:49:58
2026|Universitario de Deportes|40|Sebastian Flores|Mediocentro|15/06/2005 (21)|Perú|1,77m|Derecho|01/01/2025|-|1369248|sebastian-flores|https://img.a.transfermarkt.technology/portrait/header/1369248-1770730144.jpg?lm=1|6593|Transfermarkt|2026|2026-06-30 19:49:58
2026|Universitario de Deportes|99|Miguel Silveira|Mediocentro ofensivo|26/03/2003 (23)|Brasil|1,74m|Derecho|19/01/2026|300000|662338|miguel-silveira|https://img.a.transfermarkt.technology/portrait/header/662338-1770730499.jpg?lm=1|6593|Transfermarkt|2026|2026-06-30 19:49:58
2026|Universitario de Deportes|36|Fabián Cabanillas|Mediocentro ofensivo|05/06/2005 (21)|Perú|1,76m||24/01/2026|-|1271264|fabian-cabanillas|https://img.a.transfermarkt.technology/portrait/header/1271264-1770729426.jpg?lm=1|6593|Transfermarkt|2026|2026-06-30 19:49:58
2026|Universitario de Deportes|77|Bryan Reyna|Extremo izquierdo|23/08/1998 (27)|Perú|1,72m|Derecho|12/03/2026|700000|440312|bryan-reyna|https://img.a.transfermarkt.technology/portrait/header/440312-1758831102.png?lm=1|6593|Transfermarkt|2026|2026-06-30 19:49:58
2026|Universitario de Deportes|8|Héctor Fértoli|Extremo izquierdo|03/12/1994 (31)|Argentina, Italia|1,75m|Derecho|01/01/2026|375000|424024|hector-fertoli|https://img.a.transfermarkt.technology/portrait/header/424024-1770729969.jpg?lm=1|6593|Transfermarkt|2026|2026-06-30 19:49:58
